CD.0, CL.0.0deg,  ,CD.1, CL.1.0deg, , CD.2, CL.2.0deg, , CD.3, CL.3.0deg, , CD.4, CL.4.0deg, , CD.5, CL.5.0deg, , 
   0.07652535,     0.6177179, ,    0.08248712,     0.6776191, ,    0.08947301,     0.7370683, ,    0.09764344,       0.79602, ,     0.1074231,     0.8544296, ,     0.1109064,     0.9122536, , 
   0.07516177,     0.6177179, ,    0.08103135,     0.6776191, ,    0.08789713,     0.7370683, ,    0.09587321,       0.79602, ,     0.1053163,     0.8544296, ,     0.1093937,     0.9122536, , 
   0.07397398,     0.6177179, ,    0.07975588,     0.6776191, ,     0.0865166,     0.7370683, ,    0.09433112,       0.79602, ,     0.1035348,     0.8544296, ,     0.1081358,     0.9122536, , 
   0.07285282,     0.6177179, ,    0.07855431,     0.6776191, ,    0.08521831,     0.7370683, ,    0.09288597,       0.79602, ,     0.1018968,     0.8544296, ,      0.106987,     0.9122536, , 
    0.0719774,     0.6177179, ,    0.07760152,     0.6776191, ,    0.08419093,     0.7370683, ,    0.09176466,       0.79602, ,     0.1006198,     0.8544296, ,     0.1058859,     0.9122536, , 
   0.07121106,     0.6177179, ,    0.07676625,     0.6776191, ,    0.08329381,     0.7370683, ,    0.09078734,       0.79602, ,    0.09949605,     0.8544296, ,     0.1048657,     0.9122536, , 
   0.07052511,     0.6177179, ,    0.07601907,     0.6776191, ,    0.08249381,     0.7370683, ,    0.08991666,       0.79602, ,    0.09849694,     0.8544296, ,      0.103963,     0.9122536, , 
   0.06987112,     0.6177179, ,    0.07530689,     0.6776191, ,    0.08173215,     0.7370683, ,    0.08908786,       0.79602, ,    0.09754627,     0.8544296, ,     0.1031969,     0.9122536, , 
   0.06922487,     0.6177179, ,    0.07460298,     0.6776191, ,    0.08097932,     0.7370683, ,    0.08826847,       0.79602, ,    0.09660559,     0.8544296, ,     0.1024751,     0.9122536, , 
   0.06861692,     0.6177179, ,    0.07394009,     0.6776191, ,    0.08026968,     0.7370683, ,    0.08749435,       0.79602, ,    0.09571315,     0.8544296, ,     0.1017795,     0.9122536, , 
    0.0680654,     0.6177179, ,    0.07333788,     0.6776191, ,    0.07962299,     0.7370683, ,    0.08678909,       0.79602, ,     0.0949034,     0.8544296, ,     0.1011335,     0.9122536, , 
   0.06757697,     0.6177179, ,    0.07280334,     0.6776191, ,    0.07904697,     0.7370683, ,    0.08616116,       0.79602, ,    0.09419114,     0.8544296, ,     0.1005117,     0.9122536, , 
   0.06710858,     0.6177179, ,    0.07228982,     0.6776191, ,    0.07849236,     0.7370683, ,    0.08555468,       0.79602, ,    0.09350327,     0.8544296, ,    0.09992282,     0.9122536, , 
    0.0666497,     0.6177179, ,    0.07178599,     0.6776191, ,    0.07794751,     0.7370683, ,    0.08495859,       0.79602, ,     0.0928265,     0.8544296, ,    0.09940251,     0.9122536, , 
   0.06627368,     0.6177179, ,    0.07136798,     0.6776191, ,    0.07749886,     0.7370683, ,     0.0844748,       0.79602, ,    0.09229329,     0.8544296, ,     0.0989118,     0.9122536, , 
    0.0659168,     0.6177179, ,    0.07096673,     0.6776191, ,     0.0770681,     0.7370683, ,    0.08401055,       0.79602, ,    0.09178278,     0.8544296, ,     0.0984515,     0.9122536, , 
   0.06557968,     0.6177179, ,    0.07058299,     0.6776191, ,    0.07665579,     0.7370683, ,    0.08356647,       0.79602, ,    0.09129283,     0.8544296, ,    0.09800737,     0.9122536, , 
   0.06527863,     0.6177179, ,    0.07023608,     0.6776191, ,     0.0762824,     0.7370683, ,    0.08316413,       0.79602, ,    0.09085107,     0.8544296, ,    0.09758236,     0.9122536, , 
   0.06499452,     0.6177179, ,    0.06990563,     0.6776191, ,    0.07592524,     0.7370683, ,    0.08277893,       0.79602, ,    0.09042808,     0.8544296, ,     0.0971776,     0.9122536, , 
   0.06473232,     0.6177179, ,     0.0695921,     0.6776191, ,    0.07558459,     0.7370683, ,    0.08241079,       0.79602, ,     0.0900235,     0.8544296, ,    0.09680137,     0.9122536, , 
   0.06447668,     0.6177179, ,     0.0692841,     0.6776191, ,    0.07524966,     0.7370683, ,    0.08204858,       0.79602, ,    0.08962533,     0.8544296, ,    0.09645799,     0.9122536, , 
   0.06423289,     0.6177179, ,    0.06898613,     0.6776191, ,    0.07492518,     0.7370683, ,    0.08169776,       0.79602, ,    0.08923943,     0.8544296, ,    0.09612474,     0.9122536, , 
   0.06400253,     0.6177179, ,    0.06869985,     0.6776191, ,    0.07461298,     0.7370683, ,    0.08136036,       0.79602, ,      0.088868,     0.8544296, ,    0.09581002,     0.9122536, , 
   0.06378647,     0.6177179, ,    0.06842924,     0.6776191, ,    0.07431794,     0.7370683, ,    0.08104132,       0.79602, ,    0.08851772,     0.8544296, ,    0.09551285,     0.9122536, , 
   0.06358697,     0.6177179, ,    0.06817676,     0.6776191, ,    0.07404257,     0.7370683, ,    0.08074306,       0.79602, ,    0.08819183,     0.8544296, ,    0.09522518,     0.9122536, , 
   0.06339567,     0.6177179, ,    0.06793335,     0.6776191, ,    0.07377749,     0.7370683, ,    0.08045679,       0.79602, ,    0.08788005,     0.8544296, ,    0.09494293,     0.9122536, , 
   0.06322041,     0.6177179, ,    0.06770766,     0.6776191, ,    0.07353224,     0.7370683, ,    0.08019361,       0.79602, ,     0.0875956,     0.8544296, ,    0.09467718,     0.9122536, , 
   0.06305545,     0.6177179, ,    0.06749366,     0.6776191, ,    0.07329996,     0.7370683, ,    0.07994478,       0.79602, ,    0.08732752,     0.8544296, , , , , 
   0.06289525,     0.6177179, ,    0.06728683,     0.6776191, ,    0.07307575,     0.7370683, ,    0.07970452,       0.79602, ,    0.08706848,     0.8544296, , , , , 
   0.06273786,     0.6177179, ,    0.06708448,     0.6776191, ,    0.07285624,     0.7370683, ,    0.07946918,       0.79602, ,    0.08681463,     0.8544296, , , , , 
   0.06259109,     0.6177179, ,    0.06689284,     0.6776191, ,    0.07264665,     0.7370683, ,    0.07924577,       0.79602, ,    0.08657375,     0.8544296, , , , , 

