CD,T4--1.0°-VLM2, , CD,T4--2.0°-VLM2, , CD,T4--3.0°-VLM2, , CD,T4--4.0°-VLM2, , CD,T4--5.0°-VLM2, , CD,T4--6.0°-VLM2, , CD,T4-0.0°-VLM2, , CD,T4-1.0°-VLM2, , CD,T4-2.0°-VLM2, , CD,T4-3.0°-VLM2, , CD,T4-4.0°-VLM2, , CD,T4-5.0°-VLM2, , 
   0.05191685,     0.3951273, ,    0.04970213,      0.334301, ,    0.04880672,     0.2732742, ,    0.04951182,     0.2120958, ,    0.05170203,     0.1508147, ,    0.05512247,    0.08948005, ,    0.05543398,     0.4557049, ,    0.06015879,     0.5159858, ,    0.06595148,     0.5759224, ,    0.07285979,     0.6354681, ,    0.08099926,     0.6945767, ,    0.08999383,     0.7532028, , 
   0.05067589,     0.3951273, ,    0.04865132,      0.334301, ,    0.04795132,     0.2732742, ,    0.04888279,     0.2120958, ,    0.05127155,     0.1508147, ,    0.05489194,    0.08948005, ,    0.05401704,     0.4557049, ,    0.05856237,     0.5159858, ,    0.06417651,     0.5759224, ,    0.07090874,     0.6354681, ,    0.07882949,     0.6945767, ,    0.08670433,     0.7532028, , 
   0.04980334,     0.3951273, ,    0.04790859,      0.334301, ,    0.04734026,     0.2732742, ,    0.04841335,     0.2120958, ,    0.05091568,     0.1508147, ,     0.0546597,    0.08948005, ,    0.05303521,     0.4557049, ,    0.05748359,     0.5159858, ,    0.06299723,     0.5759224, ,    0.06961927,     0.6354681, ,    0.07739093,     0.6945767, ,    0.08511228,     0.7532028, , 
   0.04901952,     0.3951273, ,    0.04723758,      0.334301, ,    0.04678511,     0.2732742, ,    0.04798172,     0.2120958, ,    0.05057611,     0.1508147, ,    0.05440012,    0.08948005, ,    0.05216382,     0.4557049, ,    0.05653789,     0.5159858, ,    0.06197369,     0.5759224, ,    0.06851058,     0.6354681, ,    0.07617492,     0.6945767, ,    0.08368899,     0.7532028, , 
   0.04827298,     0.3951273, ,     0.0466015,      0.334301, ,    0.04626222,     0.2732742, ,    0.04757572,     0.2120958, ,    0.05025653,     0.1508147, ,    0.05415456,    0.08948005, ,    0.05133212,     0.4557049, ,    0.05563448,     0.5159858, ,    0.06099675,     0.5759224, ,    0.06745438,     0.6354681, ,    0.07501964,     0.6945767, ,    0.08253708,     0.7532028, , 
   0.04764584,     0.3951273, ,    0.04607103,      0.334301, ,    0.04582853,     0.2732742, ,    0.04723334,     0.2120958, ,    0.04997876,     0.1508147, ,    0.05392975,    0.08948005, ,    0.05062877,     0.4557049, ,    0.05486781,     0.5159858, ,    0.06016898,     0.5759224, ,     0.0665641,     0.6354681, ,    0.07405234,     0.6945767, ,    0.08150388,     0.7532028, , 
   0.04707105,     0.3951273, ,    0.04558439,      0.334301, ,    0.04542859,     0.2732742, ,    0.04691221,     0.2120958, ,    0.04971167,     0.1508147, ,    0.05370649,    0.08948005, ,    0.04998125,     0.4557049, ,    0.05416025,     0.5159858, ,    0.05940443,     0.5759224, ,    0.06574303,     0.6354681, ,    0.07316117,     0.6945767, ,    0.08059969,     0.7532028, , 
   0.04656853,     0.3951273, ,    0.04516354,      0.334301, ,    0.04508563,     0.2732742, ,    0.04663407,     0.2120958, ,     0.0494766,     0.1508147, ,    0.05350668,    0.08948005, ,    0.04941006,     0.4557049, ,    0.05353095,     0.5159858, ,    0.05872082,     0.5759224, ,    0.06500862,     0.6354681, ,    0.07236347,     0.6945767, ,    0.07973082,     0.7532028, , 
   0.04607116,     0.3951273, ,     0.0447458,      0.334301, ,    0.04474359,     0.2732742, ,    0.04635485,     0.2120958, ,    0.04923864,     0.1508147, ,    0.05330326,    0.08948005, ,    0.04884574,     0.4557049, ,    0.05290991,     0.5159858, ,    0.05804648,     0.5759224, ,    0.06428432,     0.6354681, ,    0.07157675,     0.6945767, ,    0.07888801,     0.7532028, , 
   0.04557618,     0.3951273, ,    0.04432937,      0.334301, ,    0.04440177,     0.2732742, ,    0.04607506,     0.2120958, ,    0.04899961,     0.1508147, ,    0.05309867,    0.08948005, ,    0.04828448,     0.4557049, ,    0.05229233,     0.5159858, ,    0.05737618,     0.5759224, ,    0.06356468,     0.6354681, ,    0.07079529,     0.6945767, ,    0.07811622,     0.7532028, , 
   0.04512559,     0.3951273, ,    0.04394861,      0.334301, ,    0.04408623,     0.2732742, ,     0.0458132,     0.2120958, ,    0.04877283,     0.1508147, ,    0.05290217,    0.08948005, ,     0.0477675,     0.4557049, ,    0.05171764,     0.5159858, ,     0.0567507,     0.5759224, ,    0.06289303,     0.6354681, ,    0.07006567,     0.6945767, ,     0.0774173,     0.7532028, , 
   0.04471566,     0.3951273, ,    0.04360434,      0.334301, ,    0.04380276,     0.2732742, ,    0.04557799,     0.2120958, ,    0.04856893,     0.1508147, ,    0.05272612,    0.08948005, ,     0.0472911,     0.4557049, ,    0.05118447,     0.5159858, ,     0.0561697,     0.5759224, ,    0.06226973,     0.6354681, ,    0.06938928,     0.6945767, ,     0.0767955,     0.7532028, , 
   0.04435529,     0.3951273, ,    0.04330393,      0.334301, ,    0.04355655,     0.2732742, ,    0.04537451,     0.2120958, ,    0.04839282,     0.1508147, ,    0.05257482,    0.08948005, ,    0.04686593,     0.4557049, ,    0.05070387,     0.5159858, ,    0.05564414,     0.5759224, ,    0.06170591,     0.6354681, ,    0.06877683,     0.6945767, ,    0.07619814,     0.7532028, , 
   0.04400765,     0.3951273, ,    0.04301386,      0.334301, ,    0.04331806,     0.2732742, ,    0.04517699,     0.2120958, ,    0.04822146,     0.1508147, ,    0.05242745,    0.08948005, ,    0.04645502,     0.4557049, ,    0.05023816,     0.5159858, ,     0.0551335,     0.5759224, ,    0.06115742,     0.6354681, ,     0.0681803,     0.6945767, ,     0.0756376,     0.7532028, , 
   0.04368337,     0.3951273, ,    0.04274486,      0.334301, ,    0.04309907,     0.2732742, ,     0.0449978,     0.2120958, ,    0.04806778,     0.1508147, ,    0.05229642,    0.08948005, ,    0.04607057,     0.4557049, ,    0.04980315,     0.5159858, ,     0.0546587,     0.5759224, ,    0.06065121,     0.6354681, ,    0.06763624,     0.6945767, ,    0.07513712,     0.7532028, , 
   0.04339941,     0.3951273, ,    0.04251134,      0.334301, ,    0.04291159,     0.2732742, ,    0.04484693,     0.2120958, ,    0.04794078,     0.1508147, ,    0.05218993,    0.08948005, ,     0.0457315,     0.4557049, ,    0.04941964,     0.5159858, ,     0.0542425,     0.5759224, ,    0.06021217,     0.6354681, ,    0.06717208,     0.6945767, ,    0.07464632,     0.7532028, , 
   0.04312134,     0.3951273, ,    0.04228261,      0.334301, ,    0.04272787,     0.2732742, ,    0.04469898,     0.2120958, ,    0.04781623,     0.1508147, ,    0.05208574,    0.08948005, ,     0.0453993,     0.4557049, ,    0.04904385,     0.5159858, ,    0.05383459,     0.5759224, ,    0.05978187,     0.6354681, ,    0.06671708,     0.6945767, ,    0.07417083,     0.7532028, , 
   0.04285385,     0.3951273, ,    0.04206294,      0.334301, ,    0.04255155,     0.2732742, ,    0.04455709,     0.2120958, ,    0.04769684,     0.1508147, ,    0.05198606,    0.08948005, ,    0.04507897,     0.4557049, ,    0.04868142,     0.5159858, ,     0.0534409,     0.5759224, ,    0.05936601,     0.6354681, ,    0.06627691,     0.6945767, ,    0.07373428,     0.7532028, , 
   0.04261274,     0.3951273, ,    0.04186686,      0.334301, ,    0.04239488,     0.2732742, ,    0.04443292,     0.2120958, ,     0.0475947,     0.1508147, ,     0.0519024,    0.08948005, ,    0.04478634,     0.4557049, ,    0.04834907,     0.5159858, ,     0.0530795,     0.5759224, ,    0.05898377,     0.6354681, ,    0.06587203,     0.6945767, ,    0.07331733,     0.7532028, , 
   0.04238244,     0.3951273, ,    0.04167666,      0.334301, ,    0.04224127,     0.2732742, ,    0.04431296,     0.2120958, ,    0.04749738,     0.1508147, ,    0.05182333,    0.08948005, ,    0.04450684,     0.4557049, ,    0.04803117,     0.5159858, ,    0.05273379,     0.5759224, ,    0.05861837,     0.6354681, ,    0.06548507,     0.6945767, ,    0.07292047,     0.7532028, , 
    0.0421639,     0.3951273, ,    0.04149146,      0.334301, ,    0.04208804,     0.2732742, ,    0.04419547,     0.2120958, ,     0.0474034,     0.1508147, ,    0.05174759,    0.08948005, ,    0.04424091,     0.4557049, ,    0.04772819,     0.5159858, ,    0.05240488,     0.5759224, ,    0.05827108,     0.6354681, ,    0.06511727,     0.6945767, ,     0.0725289,     0.7532028, , 
   0.04194872,     0.3951273, ,    0.04130761,      0.334301, ,    0.04193455,     0.2732742, ,    0.04407839,     0.2120958, ,    0.04731015,     0.1508147, ,    0.05167257,    0.08948005, ,    0.04397872,     0.4557049, ,    0.04742934,     0.5159858, ,    0.05208046,     0.5759224, ,    0.05792858,     0.6354681, ,    0.06475449,     0.6945767, ,    0.07214201,     0.7532028, , 
   0.04173642,     0.3951273, ,    0.04112497,      0.334301, ,    0.04178152,     0.2732742, ,    0.04396214,     0.2120958, ,    0.04721773,     0.1508147, ,    0.05159824,    0.08948005, ,    0.04372019,     0.4557049, ,    0.04713451,     0.5159858, ,    0.05176023,     0.5759224, ,     0.0575904,     0.6354681, ,    0.06439619,     0.6945767, ,    0.07177154,     0.7532028, , 
   0.04153492,     0.3951273, ,    0.04095071,      0.334301, ,    0.04163591,     0.2732742, ,    0.04385295,     0.2120958, ,    0.04713177,     0.1508147, ,    0.05152985,    0.08948005, ,    0.04347473,     0.4557049, ,    0.04685365,     0.5159858, ,    0.05145461,     0.5759224, ,    0.05726746,     0.6354681, ,    0.06405371,     0.6945767, ,    0.07141281,     0.7532028, , 
   0.04133651,     0.3951273, ,    0.04078668,      0.334301, ,    0.04150156,     0.2732742, ,    0.04374587,     0.2120958, ,    0.04704469,     0.1508147, ,    0.05146036,    0.08948005, ,    0.04323338,     0.4557049, ,    0.04658055,     0.5159858, ,    0.05115861,     0.5759224, ,    0.05695521,     0.6354681, ,    0.06372247,     0.6945767, ,    0.07108474,     0.7532028, , 
   0.04115078,     0.3951273, ,    0.04063885,      0.334301, ,     0.0413855,     0.2732742, ,    0.04365022,     0.2120958, ,    0.04696532,     0.1508147, ,    0.05139762,    0.08948005, ,    0.04300823,     0.4557049, ,    0.04632673,     0.5159858, ,    0.05088464,     0.5759224, ,    0.05666681,     0.6354681, ,    0.06341704,     0.6945767, ,    0.07078629,     0.7532028, , 
   0.04097544,     0.3951273, ,    0.04050286,      0.334301, ,    0.04128233,     0.2732742, ,    0.04356532,     0.2120958, ,    0.04689611,     0.1508147, ,    0.05134578,    0.08948005, ,    0.04279513,     0.4557049, ,    0.04608704,     0.5159858, ,    0.05062726,     0.5759224, ,     0.0563977,     0.6354681, ,     0.0631326,     0.6945767, ,    0.07049945,     0.7532028, , 
   0.04080414,     0.3951273, ,    0.04037248,      0.334301, ,    0.04118495,     0.2732742, ,    0.04348455,     0.2120958, ,    0.04683075,     0.1508147, ,     0.0512981,    0.08948005, ,    0.04258662,     0.4557049, ,    0.04585313,     0.5159858, ,    0.05037655,     0.5759224, ,    0.05613628,     0.6354681, ,    0.06285639,     0.6945767, ,    0.07022651,     0.7532028, , 
   0.04063905,     0.3951273, ,    0.04024687,      0.334301, ,    0.04109061,     0.2732742, ,    0.04340682,     0.2120958, ,    0.04676871,     0.1508147, ,    0.05125395,    0.08948005, ,     0.0423852,     0.4557049, ,    0.04562876,     0.5159858, ,    0.05013748,     0.5759224, ,    0.05588725,     0.6354681, ,    0.06259334,     0.6945767, ,    0.06996534,     0.7532028, , 
   0.04047682,     0.3951273, ,    0.04011215,      0.334301, ,    0.04098235,     0.2732742, ,    0.04332522,     0.2120958, ,    0.04670673,     0.1508147, ,    0.05120984,    0.08948005, ,    0.04218969,     0.4557049, ,    0.04541163,     0.5159858, ,     0.0499074,     0.5759224, ,     0.0556483,     0.6354681, ,    0.06234121,     0.6945767, ,    0.06971283,     0.7532028, , 
   0.04031974,     0.3951273, ,    0.03997557,      0.334301, ,    0.04086595,     0.2732742, ,    0.04324078,     0.2120958, ,    0.04664468,     0.1508147, ,     0.0511655,    0.08948005, ,    0.04199872,     0.4557049, ,    0.04519922,     0.5159858, ,    0.04968401,     0.5759224, ,    0.05541717,     0.6354681, ,    0.06209739,     0.6945767, , , , , 

