CD,T4--1.0°-VLM2, , CD,T4--2.0°-VLM2, , CD,T4--3.0°-VLM2, , CD,T4--4.0°-VLM2, , CD,T4--5.0°-VLM2, , CD,T4--6.0°-VLM2, , CD,T4-0.0°-VLM2, , CD,T4-1.0°-VLM2, , CD,T4-2.0°-VLM2, , CD,T4-3.0°-VLM2, , CD,T4-4.0°-VLM2, , CD,T4-5.0°-VLM2, , 
   0.07923041,     0.5986376, ,     0.0738236,     0.5397151, ,    0.06936217,     0.4804473, ,    0.06580458,      0.420884, ,    0.06333865,     0.3610752, ,    0.06198953,     0.3010713, ,     0.0855475,     0.6571658, ,    0.09269723,     0.7152516, ,     0.1006855,     0.7728473, ,     0.1094779,     0.8299064, ,     0.1194351,     0.8863832, ,     0.1313039,     0.9422332, , 
   0.07793729,     0.5986376, ,    0.07261974,     0.5397151, ,    0.06823577,     0.4804473, ,    0.06474882,      0.420884, ,    0.06234476,     0.3610752, ,    0.06108508,     0.3010713, ,    0.08414236,     0.6571658, ,    0.09117205,     0.7152516, ,    0.09901412,     0.7728473, ,     0.1076105,     0.8299064, ,     0.1173061,     0.8863832, ,     0.1285675,     0.9422332, , 
   0.07681081,     0.5986376, ,    0.07157034,     0.5397151, ,    0.06725399,     0.4804473, ,    0.06382854,      0.420884, ,    0.06147919,     0.3610752, ,    0.06030066,     0.3010713, ,    0.08292464,     0.6571658, ,    0.08985432,     0.7152516, ,    0.09757811,     0.7728473, ,     0.1060268,     0.8299064, ,     0.1155303,     0.8863832, ,     0.1264457,     0.9422332, , 
     0.075903,     0.5986376, ,    0.07072083,     0.5397151, ,    0.06645529,     0.4804473, ,    0.06307575,      0.420884, ,    0.06076627,     0.3610752, ,    0.05966155,     0.3010713, ,    0.08195007,     0.6571658, ,    0.08880419,     0.7152516, ,     0.0964421,     0.7728473, ,     0.1047976,     0.8299064, ,     0.1142024,     0.8863832, ,     0.1249688,     0.9422332, , 
   0.07503698,     0.5986376, ,    0.06990951,     0.5397151, ,     0.0656912,     0.4804473, ,     0.0623536,      0.420884, ,     0.0600814,     0.3610752, ,    0.05905157,     0.3010713, ,    0.08102161,     0.6571658, ,    0.08780502,     0.7152516, ,    0.09536347,     0.7728473, ,     0.1036325,     0.8299064, ,     0.1129479,     0.8863832, ,     0.1235799,     0.9422332, , 
    0.0742077,     0.5986376, ,    0.06913198,     0.5397151, ,    0.06495817,     0.4804473, ,    0.06166091,      0.420884, ,    0.05942677,     0.3610752, ,    0.05847477,     0.3010713, ,      0.080133,     0.6571658, ,    0.08684873,     0.7152516, ,    0.09433164,     0.7728473, ,     0.1025187,     0.8299064, ,     0.1117497,     0.8863832, ,     0.1222527,     0.9422332, , 
   0.07347025,     0.5986376, ,    0.06843966,     0.5397151, ,    0.06430427,     0.4804473, ,    0.06104211,      0.420884, ,    0.05884258,     0.3610752, ,    0.05811903,     0.3010713, ,    0.07934329,     0.6571658, ,    0.08599916,     0.7152516, ,    0.09341804,     0.7728473, ,     0.1015491,     0.8299064, ,     0.1107025,     0.8863832, ,     0.1210909,     0.9422332, , 
   0.07278894,     0.5986376, ,    0.06779902,     0.5397151, ,    0.06369802,     0.4804473, ,    0.06046767,      0.420884, ,    0.05830044,     0.3610752, ,    0.05789938,     0.3010713, ,    0.07861437,     0.6571658, ,    0.08521584,     0.7152516, ,    0.09257822,     0.7728473, ,     0.1006739,     0.8299064, ,     0.1097518,     0.8863832, ,     0.1200344,     0.9422332, , 
   0.07217433,     0.5986376, ,    0.06721974,     0.5397151, ,    0.06314939,     0.4804473, ,    0.05994851,      0.420884, ,    0.05781282,     0.3610752, ,    0.05774334,     0.3010713, ,    0.07795961,     0.6571658, ,    0.08451459,     0.7152516, ,    0.09182603,     0.7728473, ,    0.09988819,     0.8299064, ,       0.10891,     0.8863832, ,     0.1191482,     0.9422332, , 
   0.07159468,     0.5986376, ,    0.06667392,     0.5397151, ,    0.06263346,     0.4804473, ,    0.05946134,      0.420884, ,    0.05735601,     0.3610752, ,    0.05735962,     0.3010713, ,    0.07734204,     0.6571658, ,    0.08385358,     0.7152516, ,    0.09111733,     0.7728473, ,    0.09914913,     0.8299064, ,     0.1081192,     0.8863832, ,     0.1183193,     0.9422332, , 
   0.07105744,     0.5986376, ,    0.06616823,     0.5397151, ,    0.06215527,     0.4804473, ,    0.05900947,      0.420884, ,    0.05693239,     0.3610752, ,    0.05683759,     0.3010713, ,    0.07676886,     0.6571658, ,    0.08324228,     0.7152516, ,    0.09046763,     0.7728473, ,     0.0984711,     0.8299064, ,     0.1073928,     0.8863832, ,     0.1175602,     0.9422332, , 
   0.07055407,     0.5986376, ,    0.06569435,     0.5397151, ,    0.06170673,     0.4804473, ,    0.05858508,      0.420884, ,    0.05653528,     0.3610752, ,    0.05637483,     0.3010713, ,    0.07623137,     0.6571658, ,    0.08267024,     0.7152516, ,    0.08986375,     0.7728473, ,    0.09784232,     0.8299064, ,     0.1067196,     0.8863832, ,     0.1168586,     0.9422332, , 
    0.0700714,     0.5986376, ,    0.06523997,     0.5397151, ,     0.0612768,     0.4804473, ,    0.05817932,      0.420884, ,    0.05615741,     0.3610752, ,    0.05604675,     0.3010713, ,    0.07571579,     0.6571658, ,    0.08212129,     0.7152516, ,    0.08928498,     0.7728473, ,    0.09724146,     0.8299064, ,     0.1060776,     0.8863832, ,      0.116192,     0.9422332, , 
   0.06961438,     0.5986376, ,    0.06480988,     0.5397151, ,    0.06087029,     0.4804473, ,    0.05779574,      0.420884, ,    0.05580038,     0.3610752, ,    0.05587074,     0.3010713, ,    0.07522771,     0.6571658, ,    0.08160133,     0.7152516, ,    0.08873722,     0.7728473, ,    0.09667434,     0.8299064, ,      0.105479,     0.8863832, ,     0.1155701,     0.9422332, , 
   0.06920274,     0.5986376, ,    0.06442206,     0.5397151, ,    0.06050391,     0.4804473, ,    0.05745023,      0.420884, ,    0.05548038,     0.3610752, ,    0.05561043,     0.3010713, ,    0.07478958,     0.6571658, ,       0.08114,     0.7152516, ,    0.08825715,     0.7728473, ,    0.09617121,     0.8299064, ,     0.1049603,     0.8863832, ,     0.1150347,     0.9422332, , 
   0.06880847,     0.5986376, ,    0.06405063,     0.5397151, ,     0.0601532,     0.4804473, ,    0.05712012,      0.420884, ,    0.05517705,     0.3610752, ,    0.05543796,     0.3010713, ,    0.07437017,     0.6571658, ,    0.08070021,     0.7152516, ,     0.0878016,     0.7728473, ,    0.09569184,     0.8299064, ,     0.1044673,     0.8863832, ,      0.114529,     0.9422332, , 
    0.0684286,     0.5986376, ,    0.06369313,     0.5397151, ,    0.05981635,     0.4804473, ,     0.0568042,      0.420884, ,    0.05488812,     0.3610752, ,    0.05544733,     0.3010713, ,    0.07396597,     0.6571658, ,    0.08027661,     0.7152516, ,    0.08736337,     0.7728473, ,    0.09523106,     0.8299064, ,     0.1039948,     0.8863832, ,     0.1140458,     0.9422332, , 
   0.06806332,     0.5986376, ,    0.06334966,     0.5397151, ,    0.05949304,     0.4804473, ,    0.05650087,      0.420884, ,    0.05461053,     0.3610752, ,    0.05546452,     0.3010713, ,    0.07357728,     0.6571658, ,    0.07986952,     0.7152516, ,    0.08694266,     0.7728473, ,    0.09478884,     0.8299064, ,     0.1035423,     0.8863832, ,     0.1135841,     0.9422332, , 
   0.06771807,     0.5986376, ,    0.06302465,     0.5397151, ,    0.05918712,     0.4804473, ,    0.05623854,      0.420884, ,    0.05449519,     0.3610752, ,    0.05566118,     0.3010713, ,    0.07321082,     0.6571658, ,    0.07948899,     0.7152516, ,    0.08654849,     0.7728473, ,    0.09437409,     0.8299064, ,     0.1031183,     0.8863832, ,     0.1131559,     0.9422332, , 
   0.06739581,     0.5986376, ,    0.06272091,     0.5397151, ,    0.05890127,     0.4804473, ,    0.05604993,      0.420884, ,    0.05472627,     0.3610752, ,    0.05608934,     0.3010713, ,    0.07286936,     0.6571658, ,     0.0791352,     0.7152516, ,    0.08618398,     0.7728473, ,     0.0939942,     0.8299064, ,     0.1027383,     0.8863832, ,     0.1127684,     0.9422332, , 
   0.06708797,     0.5986376, ,    0.06243073,     0.5397151, ,    0.05862854,     0.4804473, ,    0.05587404,      0.420884, ,    0.05496975,     0.3610752, ,    0.05652447,     0.3010713, ,    0.07254329,     0.6571658, ,    0.07879736,     0.7152516, ,    0.08583666,     0.7728473, ,    0.09363372,     0.8299064, ,     0.1023814,     0.8863832, ,     0.1124023,     0.9422332, , 
   0.06687616,     0.5986376, ,    0.06227736,     0.5397151, ,    0.05853069,     0.4804473, ,    0.05587299,      0.420884, ,     0.0552371,     0.3610752, ,    0.05690084,     0.3010713, ,    0.07227107,     0.6571658, ,     0.0784701,     0.7152516, ,    0.08549863,     0.7728473, ,     0.0932831,     0.8299064, ,     0.1020351,     0.8863832, ,     0.1120475,     0.9422332, , 
   0.06698429,     0.5986376, ,    0.06257943,     0.5397151, ,    0.05901514,     0.4804473, ,    0.05645409,      0.420884, ,    0.05558482,     0.3610752, ,    0.05716695,     0.3010713, ,    0.07218042,     0.6571658, ,    0.07817882,     0.7152516, ,    0.08519101,     0.7728473, ,    0.09296386,     0.8299064, ,     0.1017228,     0.8863832, ,     0.1117302,     0.9422332, , 
   0.06709969,     0.5986376, ,    0.06288833,     0.5397151, ,    0.05950615,     0.4804473, ,    0.05704111,      0.420884, ,    0.05593734,     0.3610752, ,    0.05743239,     0.3010713, ,    0.07209747,     0.6571658, ,    0.07789561,     0.7152516, ,    0.08489176,     0.7728473, ,    0.09265329,     0.8299064, ,     0.1014196,     0.8863832, ,     0.1114225,     0.9422332, , 
   0.06716283,     0.5986376, ,    0.06311788,     0.5397151, ,    0.05989269,     0.4804473, ,    0.05751199,      0.420884, ,    0.05621293,     0.3610752, ,    0.05765821,     0.3010713, ,    0.07199022,     0.6571658, ,    0.07761667,     0.7152516, ,    0.08459838,     0.7728473, ,    0.09234917,     0.8299064, ,     0.1011228,     0.8863832, ,     0.1111215,     0.9422332, , 
   0.06693793,     0.5986376, ,    0.06291235,     0.5397151, ,    0.05970779,     0.4804473, ,    0.05734783,      0.420884, ,     0.0561058,     0.3610752, ,     0.0577322,     0.3010713, ,    0.07174734,     0.6571658, ,    0.07735793,     0.7152516, ,    0.08433606,     0.7728473, ,    0.09208478,     0.8299064, ,     0.1008574,     0.8863832, ,     0.1108516,     0.9422332, , 
   0.06672639,     0.5986376, ,    0.06271873,     0.5397151, ,    0.05953407,     0.4804473, ,    0.05719375,      0.420884, ,    0.05617889,     0.3610752, ,    0.05805308,     0.3010713, ,    0.07152107,     0.6571658, ,    0.07711524,     0.7152516, ,    0.08408901,     0.7728473, ,    0.09183595,     0.8299064, ,     0.1006094,     0.8863832, ,     0.1106009,     0.9422332, , 
