CD.0, CL.0.0deg,  ,CD.1, CL.1.0deg, , CD.2, CL.2.0deg, , CD.3, CL.3.0deg, , CD.4, CL.4.0deg, , CD.5, CL.5.0deg, , 
    0.0855475,     0.6571658, ,    0.09269723,     0.7152516, ,     0.1006855,     0.7728473, ,     0.1094779,     0.8299064, ,     0.1194351,     0.8863832, ,     0.1313039,     0.9422332, , 
   0.08414236,     0.6571658, ,    0.09117205,     0.7152516, ,    0.09901412,     0.7728473, ,     0.1076105,     0.8299064, ,     0.1173061,     0.8863832, ,     0.1285675,     0.9422332, , 
   0.08292464,     0.6571658, ,    0.08985432,     0.7152516, ,    0.09757811,     0.7728473, ,     0.1060268,     0.8299064, ,     0.1155303,     0.8863832, ,     0.1264457,     0.9422332, , 
   0.08195007,     0.6571658, ,    0.08880419,     0.7152516, ,     0.0964421,     0.7728473, ,     0.1047976,     0.8299064, ,     0.1142024,     0.8863832, ,     0.1249688,     0.9422332, , 
   0.08102161,     0.6571658, ,    0.08780502,     0.7152516, ,    0.09536347,     0.7728473, ,     0.1036325,     0.8299064, ,     0.1129479,     0.8863832, ,     0.1235799,     0.9422332, , 
     0.080133,     0.6571658, ,    0.08684873,     0.7152516, ,    0.09433164,     0.7728473, ,     0.1025187,     0.8299064, ,     0.1117497,     0.8863832, ,     0.1222527,     0.9422332, , 
   0.07934329,     0.6571658, ,    0.08599916,     0.7152516, ,    0.09341804,     0.7728473, ,     0.1015491,     0.8299064, ,     0.1107025,     0.8863832, ,     0.1210909,     0.9422332, , 
   0.07861437,     0.6571658, ,    0.08521584,     0.7152516, ,    0.09257822,     0.7728473, ,     0.1006739,     0.8299064, ,     0.1097518,     0.8863832, ,     0.1200344,     0.9422332, , 
   0.07795961,     0.6571658, ,    0.08451459,     0.7152516, ,    0.09182603,     0.7728473, ,    0.09988819,     0.8299064, ,       0.10891,     0.8863832, ,     0.1191482,     0.9422332, , 
   0.07734204,     0.6571658, ,    0.08385358,     0.7152516, ,    0.09111733,     0.7728473, ,    0.09914913,     0.8299064, ,     0.1081192,     0.8863832, ,     0.1183193,     0.9422332, , 
   0.07676886,     0.6571658, ,    0.08324228,     0.7152516, ,    0.09046763,     0.7728473, ,     0.0984711,     0.8299064, ,     0.1073928,     0.8863832, ,     0.1175602,     0.9422332, , 
   0.07623137,     0.6571658, ,    0.08267024,     0.7152516, ,    0.08986375,     0.7728473, ,    0.09784232,     0.8299064, ,     0.1067196,     0.8863832, ,     0.1168586,     0.9422332, , 
   0.07571579,     0.6571658, ,    0.08212129,     0.7152516, ,    0.08928498,     0.7728473, ,    0.09724146,     0.8299064, ,     0.1060776,     0.8863832, ,      0.116192,     0.9422332, , 
   0.07522771,     0.6571658, ,    0.08160133,     0.7152516, ,    0.08873722,     0.7728473, ,    0.09667434,     0.8299064, ,      0.105479,     0.8863832, ,     0.1155701,     0.9422332, , 
   0.07478958,     0.6571658, ,       0.08114,     0.7152516, ,    0.08825715,     0.7728473, ,    0.09617121,     0.8299064, ,     0.1049603,     0.8863832, ,     0.1150347,     0.9422332, , 
   0.07437017,     0.6571658, ,    0.08070021,     0.7152516, ,     0.0878016,     0.7728473, ,    0.09569184,     0.8299064, ,     0.1044673,     0.8863832, ,      0.114529,     0.9422332, , 
   0.07396597,     0.6571658, ,    0.08027661,     0.7152516, ,    0.08736337,     0.7728473, ,    0.09523106,     0.8299064, ,     0.1039948,     0.8863832, ,     0.1140458,     0.9422332, , 
   0.07357728,     0.6571658, ,    0.07986952,     0.7152516, ,    0.08694266,     0.7728473, ,    0.09478884,     0.8299064, ,     0.1035423,     0.8863832, ,     0.1135841,     0.9422332, , 
   0.07321082,     0.6571658, ,    0.07948899,     0.7152516, ,    0.08654849,     0.7728473, ,    0.09437409,     0.8299064, ,     0.1031183,     0.8863832, ,     0.1131559,     0.9422332, , 
   0.07286936,     0.6571658, ,     0.0791352,     0.7152516, ,    0.08618398,     0.7728473, ,     0.0939942,     0.8299064, ,     0.1027383,     0.8863832, ,     0.1127684,     0.9422332, , 
   0.07254329,     0.6571658, ,    0.07879736,     0.7152516, ,    0.08583666,     0.7728473, ,    0.09363372,     0.8299064, ,     0.1023814,     0.8863832, ,     0.1124023,     0.9422332, , 
   0.07227107,     0.6571658, ,     0.0784701,     0.7152516, ,    0.08549863,     0.7728473, ,     0.0932831,     0.8299064, ,     0.1020351,     0.8863832, ,     0.1120475,     0.9422332, , 
   0.07218042,     0.6571658, ,    0.07817882,     0.7152516, ,    0.08519101,     0.7728473, ,    0.09296386,     0.8299064, ,     0.1017228,     0.8863832, ,     0.1117302,     0.9422332, , 
   0.07209747,     0.6571658, ,    0.07789561,     0.7152516, ,    0.08489176,     0.7728473, ,    0.09265329,     0.8299064, ,     0.1014196,     0.8863832, ,     0.1114225,     0.9422332, , 
   0.07199022,     0.6571658, ,    0.07761667,     0.7152516, ,    0.08459838,     0.7728473, ,    0.09234917,     0.8299064, ,     0.1011228,     0.8863832, ,     0.1111215,     0.9422332, , 
   0.07174734,     0.6571658, ,    0.07735793,     0.7152516, ,    0.08433606,     0.7728473, ,    0.09208478,     0.8299064, ,     0.1008574,     0.8863832, ,     0.1108516,     0.9422332, , 
   0.07152107,     0.6571658, ,    0.07711524,     0.7152516, ,    0.08408901,     0.7728473, ,    0.09183595,     0.8299064, ,     0.1006094,     0.8863832, ,     0.1106009,     0.9422332, , 
   0.07128116,     0.6571658, ,    0.07687493,     0.7152516, ,    0.08384506,     0.7728473, ,    0.09159031,     0.8299064, ,     0.1003647,     0.8863832, ,     0.1103536,     0.9422332, , 
   0.07085465,     0.6571658, ,    0.07663958,     0.7152516, ,    0.08361471,     0.7728473, ,    0.09135895,     0.8299064, ,     0.1001347,     0.8863832, , , , , 
