CD.0, CL.0.0deg,  ,CD.1, CL.1.0deg, , CD.2, CL.2.0deg, , CD.3, CL.3.0deg, , CD.4, CL.4.0deg, , CD.5, CL.5.0deg, , 
   0.05357241,     0.4403284, ,    0.05761872,     0.5006502, ,    0.06262041,     0.5606401, ,    0.06863489,     0.6202511, ,    0.07590363,      0.679437, ,    0.08489911,     0.7381524, , 
   0.05250774,     0.4403284, ,    0.05650019,     0.5006502, ,    0.06143395,     0.5606401, ,    0.06734712,     0.6202511, ,    0.07444427,      0.679437, ,    0.08317286,     0.7381524, , 
   0.05151068,     0.4403284, ,    0.05544705,     0.5006502, ,    0.06031439,     0.5606401, ,    0.06613397,     0.6202511, ,    0.07307764,      0.679437, ,     0.0815738,     0.7381524, , 
   0.05065251,     0.4403284, ,     0.0545286,     0.5006502, ,    0.05932071,     0.5606401, ,    0.06508703,     0.6202511, ,    0.07192957,      0.679437, ,    0.08028098,     0.7381524, , 
   0.04993126,     0.4403284, ,    0.05376301,     0.5006502, ,    0.05850445,     0.5606401, ,    0.06422559,     0.6202511, ,    0.07099842,      0.679437, ,    0.07924536,     0.7381524, , 
   0.04923874,     0.4403284, ,     0.0530297,     0.5006502, ,    0.05772729,     0.5606401, ,     0.0633987,     0.6202511, ,    0.07010586,      0.679437, ,    0.07825375,     0.7381524, , 
   0.04854872,     0.4403284, ,    0.05229918,     0.5006502, ,    0.05695315,     0.5606401, ,    0.06257505,     0.6202511, ,    0.06921653,      0.679437, ,    0.07726522,     0.7381524, , 
   0.04790366,     0.4403284, ,    0.05161842,     0.5006502, ,     0.0562349,     0.5606401, ,    0.06181369,     0.6202511, ,    0.06839818,      0.679437, ,    0.07636215,     0.7381524, , 
   0.04732159,     0.4403284, ,    0.05100431,     0.5006502, ,     0.0555909,     0.5606401, ,    0.06113893,     0.6202511, ,    0.06767931,      0.679437, ,     0.0755745,     0.7381524, , 
   0.04677041,     0.4403284, ,    0.05042092,     0.5006502, ,    0.05498297,     0.5606401, ,     0.0605085,     0.6202511, ,    0.06701088,      0.679437, ,    0.07484282,     0.7381524, , 
   0.04626933,     0.4403284, ,    0.04988867,     0.5006502, ,    0.05442834,     0.5606401, ,    0.05993762,     0.6202511, ,    0.06640746,      0.679437, ,    0.07418082,     0.7381524, , 
   0.04578085,     0.4403284, ,    0.04936908,     0.5006502, ,    0.05388637,     0.5606401, ,    0.05938084,     0.6202511, ,    0.06582058,      0.679437, ,    0.07353747,     0.7381524, , 
   0.04529658,     0.4403284, ,    0.04885366,     0.5006502, ,    0.05334846,     0.5606401, ,    0.05882799,     0.6202511, ,    0.06523782,      0.679437, ,    0.07289897,     0.7381524, , 
   0.04481523,     0.4403284, ,    0.04834123,     0.5006502, ,     0.0528136,     0.5606401, ,    0.05827821,     0.6202511, ,     0.0646581,      0.679437, ,    0.07226349,     0.7381524, , 
   0.04434698,     0.4403284, ,     0.0478571,     0.5006502, ,    0.05231833,     0.5606401, ,    0.05776832,     0.6202511, ,    0.06411756,      0.679437, ,     0.0716666,     0.7381524, , 
   0.04389948,     0.4403284, ,    0.04740268,     0.5006502, ,    0.05185678,     0.5606401, ,    0.05729327,     0.6202511, ,    0.06361215,      0.679437, ,    0.07110638,     0.7381524, , 
   0.04348721,     0.4403284, ,    0.04698771,     0.5006502, ,    0.05143918,     0.5606401, ,     0.0568642,     0.6202511, ,    0.06315456,      0.679437, ,    0.07059741,     0.7381524, , 
   0.04310099,     0.4403284, ,    0.04660331,     0.5006502, ,    0.05105758,     0.5606401, ,    0.05647383,     0.6202511, ,    0.06274056,      0.679437, ,    0.07014066,     0.7381524, , 
