CD,T4--1.0°-VLM2, , CD,T4--2.0°-VLM2, , CD,T4--3.0°-VLM2, , CD,T4--4.0°-VLM2, , CD,T4--5.0°-VLM2, , CD,T4--6.0°-VLM2, , CD,T4-0.0°-VLM2, , CD,T4-1.0°-VLM2, , CD,T4-2.0°-VLM2, , CD,T4-3.0°-VLM2, , CD,T4-4.0°-VLM2, , CD,T4-5.0°-VLM2, , 
   0.05040875,     0.3797221, ,    0.04823648,     0.3188793, ,    0.04717985,     0.2578486, ,    0.04722438,     0.1966785, ,    0.04838297,     0.1354181, ,      0.050651,    0.07411627, ,    0.05357241,     0.4403284, ,    0.05761872,     0.5006502, ,    0.06262041,     0.5606401, ,    0.06863489,     0.6202511, ,    0.07590363,      0.679437, ,    0.08489911,     0.7381524, , 
   0.04942558,     0.3797221, ,    0.04732635,     0.3188793, ,    0.04638036,     0.2578486, ,    0.04654203,     0.1966785, ,    0.04783394,     0.1354181, ,     0.0502211,    0.07411627, ,    0.05250774,     0.4403284, ,    0.05650019,     0.5006502, ,    0.06143395,     0.5606401, ,    0.06734712,     0.6202511, ,    0.07444427,      0.679437, ,    0.08317286,     0.7381524, , 
   0.04851286,     0.3797221, ,    0.04650129,     0.3188793, ,    0.04565292,     0.2578486, ,    0.04591304,     0.1966785, ,    0.04731983,     0.1354181, ,     0.0498176,    0.07411627, ,    0.05151068,     0.4403284, ,    0.05544705,     0.5006502, ,    0.06031439,     0.5606401, ,    0.06613397,     0.6202511, ,    0.07307764,      0.679437, ,     0.0815738,     0.7381524, , 
   0.04772894,     0.3797221, ,    0.04580097,     0.3188793, ,    0.04509084,     0.2578486, ,    0.04542094,     0.1966785, ,     0.0468704,     0.1354181, ,    0.04945142,    0.07411627, ,    0.05065251,     0.4403284, ,     0.0545286,     0.5006502, ,    0.05932071,     0.5606401, ,    0.06508703,     0.6202511, ,    0.07192957,      0.679437, ,    0.08028098,     0.7381524, , 
   0.04706232,     0.3797221, ,    0.04520381,     0.3188793, ,    0.04458052,     0.2578486, ,    0.04497852,     0.1966785, ,    0.04648432,     0.1354181, ,    0.04912516,    0.07411627, ,    0.04993126,     0.4403284, ,    0.05376301,     0.5006502, ,    0.05850445,     0.5606401, ,    0.06422559,     0.6202511, ,    0.07099842,      0.679437, ,    0.07924536,     0.7381524, , 
   0.04642029,     0.3797221, ,     0.0446282,     0.3188793, ,    0.04406964,     0.2578486, ,    0.04453945,     0.1966785, ,    0.04611731,     0.1354181, ,    0.04881541,    0.07411627, ,    0.04923874,     0.4403284, ,     0.0530297,     0.5006502, ,    0.05772729,     0.5606401, ,     0.0633987,     0.6202511, ,    0.07010586,      0.679437, ,    0.07825375,     0.7381524, , 
   0.04578036,     0.3797221, ,    0.04405418,     0.3188793, ,    0.04355968,     0.2578486, ,    0.04410057,     0.1966785, ,    0.04574962,     0.1354181, ,    0.04850409,    0.07411627, ,    0.04854872,     0.4403284, ,    0.05229918,     0.5006502, ,    0.05695315,     0.5606401, ,    0.06257505,     0.6202511, ,    0.06921653,      0.679437, ,    0.07726522,     0.7381524, , 
   0.04517841,     0.3797221, ,    0.04350943,     0.3188793, ,     0.0430707,     0.2578486, ,    0.04367247,     0.1966785, ,    0.04538379,     0.1354181, ,    0.04818892,    0.07411627, ,    0.04790366,     0.4403284, ,    0.05161842,     0.5006502, ,     0.0562349,     0.5606401, ,    0.06181369,     0.6202511, ,    0.06839818,      0.679437, ,    0.07636215,     0.7381524, , 
   0.04463444,     0.3797221, ,    0.04301622,     0.3188793, ,    0.04262681,     0.2578486, ,    0.04328079,     0.1966785, ,    0.04504445,     0.1354181, ,    0.04789304,    0.07411627, ,    0.04732159,     0.4403284, ,    0.05100431,     0.5006502, ,     0.0555909,     0.5606401, ,    0.06113893,     0.6202511, ,    0.06767931,      0.679437, ,     0.0755745,     0.7381524, , 
   0.04412184,     0.3797221, ,    0.04255492,     0.3188793, ,    0.04221486,     0.2578486, ,    0.04292042,     0.1966785, ,    0.04473306,     0.1354181, ,    0.04762203,    0.07411627, ,    0.04677041,     0.4403284, ,    0.05042092,     0.5006502, ,    0.05498297,     0.5606401, ,     0.0605085,     0.6202511, ,    0.06701088,      0.679437, ,    0.07484282,     0.7381524, , 
