0.16148,0.69709,0.13611,0.72322,-4.8731e-43
0.17578,0.64586,0.15398,0.67853,-5.4378e-45
0.20878,0.67138,0.19463,0.70468,-8.295e-51
0.24522,0.66032,0.2386,0.69844,1.0679e-57
0.27435,0.64928,0.27309,0.69163,1.3731e-54
0.23401,0.61647,0.22517,0.65863,-6.6736e-52
0.26297,0.57618,0.25969,0.62651,9.7412e-47
0.29926,0.53953,0.30212,0.599,1.4514e-39
0.37217,0.52473,0.38475,0.59535,3.1745e-32
0.37237,0.55763,0.38497,0.6233,-4.6411e-40
0.32887,0.60893,0.33609,0.66227,5.8229e-46
0.37651,0.64172,0.38956,0.69503,2.7507e-51
0.38725,0.60513,0.40141,0.66513,4.8888e-45
0.44161,0.53918,0.46035,0.61578,1.6019e-30
0.47816,0.54641,0.49898,0.6259,-2.0527e-30
0.49301,0.59025,0.51447,0.66352,3.0809e-31
0.47867,0.63416,0.49952,0.69824,2.203e-34
0.44239,0.67081,0.46118,0.72538,-3.7033e-40
0.39522,0.71846,0.41016,0.76149,-1.829e-43
0.32209,0.6967,0.32836,0.73709,5.9146e-59
0.28939,0.72237,0.29066,0.75661,-1.3569e-63
0.23829,0.72249,0.2303,0.75258,-5.8904e-57
0.25308,0.75537,0.24796,0.78265,-1.3726e-61
0.21299,0.76643,0.19976,0.78953,-1.7661e-52
0.17299,0.79212,0.1505,0.80972,-4.756e-44
0.17684,0.82502,0.15529,0.83951,-1.831e-45
0.24241,0.80292,0.23524,0.82375,-9.7259e-60
0.29336,0.77721,0.29528,0.8045,2.9442e-59
0.35893,0.75511,0.37,0.78992,6.1357e-46
0.35915,0.79167,0.37024,0.82107,2.8634e-44
0.31176,0.80276,0.31653,0.82776,1.0479e-53
0.25353,0.83215,0.2485,0.85009,-6.3621e-63
0.24643,0.86507,0.24004,0.87867,-6.2914e-61
0.17362,0.89815,0.15128,0.90506,-6.573e-45
0.15198,0.94208,0.12415,0.94397,-5.5591e-42
0.15223,0.98596,0.12448,0.98366,-5.8435e-44
0.15247,1.0262,0.12478,1.02,-5.8309e-47
0.16362,1.0591,0.13879,1.0497,-4.3983e-49
0.17472,1.0846,0.15265,1.0726,-1.4535e-48
0.094458,1.0921,0.050297,1.0805,-3.2566e-37
0.094674,1.1287,0.050579,1.1142,-7.0706e-35
0.094997,1.1835,0.051001,1.1647,-1.1135e-33
0.06275,1.286,0.0084602,1.2612,-3.1788e-32
0.055686,1.3262,-0.00097082,1.2992,-1.8707e-31
0.045016,1.3738,-0.015297,1.3445,-5.5735e-48
0.063568,1.4249,0.0095508,1.3903,-6.2561e-35
0.11083,1.3919,0.071576,1.3549,-1.2333e-35
0.088731,1.3591,0.042801,1.3268,-1.3334e-32
0.13201,1.2712,0.098812,1.243,-6.6027e-38
0.13502,1.1615,0.10264,1.143,-2.3726e-38
0.18232,1.1358,0.16209,1.1184,-3.1779e-47
0.26249,1.1137,0.25912,1.097,-7.1853e-67
0.22951,1.0918,0.21976,1.0783,-7.1313e-60
0.2074,1.0553,0.19293,1.0462,-5.1161e-58
0.20718,1.0187,0.19267,1.0136,-6.976e-57
0.23606,0.96382,0.22763,0.96533,-3.1296e-60
