CD.0, CL.0.0deg,  ,CD.1, CL.1.0deg, , CD.2, CL.2.0deg, , CD.3, CL.3.0deg, , CD.4, CL.4.0deg, , CD.5, CL.5.0deg, , 
   0.04575903,     0.3180671, ,    0.05056331,     0.3767528, ,    0.05668873,     0.4351654, ,    0.06404819,     0.4932567, ,    0.07297775,     0.5509791, ,    0.07031412,     0.5897966, , 
   0.04469591,     0.3180671, ,    0.04946643,     0.3767528, ,    0.05557043,     0.4351654, ,    0.06290239,     0.4932567, ,    0.07180283,     0.5509791, ,    0.07002522,     0.5897966, , 
   0.04371846,     0.3180671, ,    0.04844922,     0.3767528, ,    0.05452655,     0.4351654, ,    0.06183935,     0.4932567, ,    0.07071588,     0.5509791, ,    0.06975117,     0.5897966, , 
   0.04285618,     0.3180671, ,    0.04755198,     0.3767528, ,    0.05360268,     0.4351654, ,    0.06090086,     0.4932567, ,    0.06977916,     0.5509791, ,    0.06948449,     0.5897966, , 
   0.04209531,     0.3180671, ,    0.04676267,     0.3767528, ,    0.05278795,     0.4351654, ,    0.06007718,     0.4932567, ,    0.06897986,     0.5509791, ,    0.06922912,     0.5897966, , 
   0.04138787,     0.3180671, ,    0.04602316,     0.3767528, ,    0.05202109,     0.4351654, ,    0.05929993,     0.4932567, ,    0.06823229,     0.5509791, ,    0.06898381,     0.5897966, , 
   0.04076615,     0.3180671, ,    0.04536884,     0.3767528, ,     0.0513492,     0.4351654, ,    0.05861856,     0.4932567, ,     0.0675753,     0.5509791, ,    0.06874496,     0.5897966, , 
   0.04017188,     0.3180671, ,    0.04474293,     0.3767528, ,    0.05070808,     0.4351654, ,    0.05796708,     0.4932567, ,     0.0669448,     0.5509791, ,    0.06853285,     0.5897966, , 
   0.03958599,     0.3180671, ,    0.04412703,     0.3767528, ,    0.05007601,     0.4351654, ,    0.05732361,     0.4932567, ,     0.0663212,     0.5509791, ,    0.07204764,      0.608286, , 
   0.03901651,     0.3180671, ,    0.04352991,     0.3767528, ,    0.04946452,     0.4351654, ,    0.05670386,     0.4932567, ,    0.06571916,     0.5509791, ,    0.07184676,      0.608286, , 
   0.03851206,     0.3180671, ,    0.04300515,     0.3767528, ,    0.04893759,     0.4351654, ,    0.05618405,     0.4932567, ,    0.06521445,     0.5509791, ,    0.07165709,      0.608286, , 
   0.03803865,     0.3180671, ,    0.04251656,     0.3767528, ,    0.04845453,     0.4351654, ,    0.05571115,     0.4932567, ,    0.06475454,     0.5509791, ,    0.07147342,      0.608286, , 
   0.03757899,     0.3180671, ,     0.0420435,     0.3767528, ,    0.04799048,     0.4351654, ,    0.05525864,     0.4932567, ,    0.06431445,     0.5509791, ,    0.07129721,      0.608286, , 
   0.03712252,     0.3180671, ,    0.04157381,     0.3767528, ,    0.04753039,     0.4351654, ,    0.05481069,     0.4932567, ,    0.06387936,     0.5509791, ,    0.07112468,      0.608286, , 
   0.03667012,     0.3180671, ,     0.0411088,     0.3767528, ,    0.04707526,     0.4351654, ,    0.05436791,     0.4932567, ,    0.06344948,     0.5509791, ,    0.07096399,      0.608286, , 
    0.0362457,     0.3180671, ,    0.04067849,     0.3767528, ,    0.04665648,     0.4351654, ,    0.05396239,     0.4932567, ,    0.06305746,     0.5509791, ,    0.07080883,      0.608286, , 
   0.03589038,     0.3180671, ,    0.04032643,     0.3767528, ,    0.04631923,     0.4351654, ,    0.05365248,     0.4932567, ,    0.06276437,     0.5509791, , , , , 
    0.0355478,     0.3180671, ,     0.0399912,     0.3767528, ,    0.04599686,     0.4351654, ,    0.05335639,     0.4932567, ,    0.06248475,     0.5509791, , , , , 
   0.03520753,     0.3180671, ,    0.03965838,     0.3767528, ,    0.04567695,     0.4351654, ,    0.05306281,     0.4932567, ,    0.06220774,     0.5509791, , , , , 
   0.03487473,     0.3180671, ,    0.03933316,     0.3767528, ,    0.04536464,     0.4351654, ,    0.05277662,     0.4932567, ,    0.06193775,     0.5509791, , , , , 
   0.03456422,     0.3180671, ,    0.03903036,     0.3767528, ,    0.04507481,     0.4351654, ,    0.05251261,     0.4932567, ,    0.06168902,     0.5509791, , , , , 
   0.03426676,     0.3180671, ,    0.03874139,     0.3767528, ,    0.04479707,     0.4351654, ,    0.05225937,     0.4932567, ,    0.06145012,     0.5509791, , , , , 
   0.03399135,     0.3180671, ,    0.03847763,     0.3767528, ,    0.04454266,     0.4351654, ,    0.05202463,     0.4932567, ,    0.06122735,     0.5509791, , , , , 
   0.03372113,     0.3180671, ,    0.03821997,     0.3767528, ,    0.04429439,     0.4351654, ,    0.05179496,     0.4932567, ,    0.06100932,     0.5509791, , , , , 
