CD,T4--1.0°-VLM2, , CD,T4--2.0°-VLM2, , CD,T4--3.0°-VLM2, , CD,T4--4.0°-VLM2, , CD,T4--5.0°-VLM2, , CD,T4--6.0°-VLM2, , CD,T4-0.0°-VLM2, , CD,T4-1.0°-VLM2, , CD,T4-2.0°-VLM2, , CD,T4-3.0°-VLM2, , CD,T4-4.0°-VLM2, , CD,T4-5.0°-VLM2, , 
   0.05754929,     0.3960624, ,    0.05505525,     0.3431467, ,    0.05354745,     0.2900017, ,     0.0530208,     0.2366727, ,    0.05338624,      0.183205, ,    0.05486963,     0.1296442, ,     0.0609327,     0.4487044, ,    0.06523345,     0.5010285, ,    0.07036596,     0.5529911, ,    0.07652651,     0.6045494, ,    0.08360116,     0.6556613, ,    0.09192411,     0.7062856, , 
    0.0566335,     0.3960624, ,    0.05421994,     0.3431467, ,    0.05280756,     0.2900017, ,    0.05236018,     0.2366727, ,     0.0528014,      0.183205, ,    0.05436973,     0.1296442, ,    0.05994905,     0.4487044, ,    0.06417527,     0.5010285, ,    0.06925186,     0.5529911, ,    0.07532679,     0.6045494, ,    0.08227377,     0.6556613, ,    0.09041542,     0.7062856, , 
   0.05587708,     0.3960624, ,    0.05353577,     0.3431467, ,    0.05220754,     0.2900017, ,     0.0518263,     0.2366727, ,    0.05232504,      0.183205, ,    0.05396022,     0.1296442, ,    0.05912734,     0.4487044, ,    0.06329885,     0.5010285, ,    0.06832034,     0.5529911, ,    0.07432965,     0.6045494, ,     0.0812021,     0.6556613, ,    0.08925481,     0.7062856, , 
   0.05513949,     0.3960624, ,    0.05286814,     0.3431467, ,    0.05162101,     0.2900017, ,    0.05130198,     0.2366727, ,    0.05185326,      0.183205, ,    0.05355068,     0.1296442, ,    0.05832562,     0.4487044, ,    0.06244377,     0.5010285, ,    0.06741186,     0.5529911, ,    0.07335733,     0.6045494, ,    0.08015722,     0.6556613, ,    0.08812726,     0.7062856, , 
   0.05452306,     0.3960624, ,    0.05230585,     0.3431467, ,    0.05110863,     0.2900017, ,    0.05083591,     0.2366727, ,    0.05142962,      0.183205, ,    0.05318277,     0.1296442, ,    0.05763732,     0.4487044, ,    0.06169971,     0.5010285, ,    0.06661997,     0.5529911, ,    0.07250673,     0.6045494, ,    0.07923849,     0.6556613, ,    0.08713133,     0.7062856, , 
   0.05398612,     0.3960624, ,    0.05182849,     0.3431467, ,    0.05066139,     0.2900017, ,    0.05041846,     0.2366727, ,    0.05104609,      0.183205, ,    0.05284758,     0.1296442, ,    0.05702208,     0.4487044, ,     0.0610316,     0.5010285, ,    0.06590725,     0.5529911, ,    0.07173813,     0.6045494, ,    0.07840627,     0.6556613, ,    0.08623013,     0.7062856, , 
   0.05345727,     0.3960624, ,    0.05135842,     0.3431467, ,    0.05022078,     0.2900017, ,    0.05000722,     0.2366727, ,    0.05066844,      0.183205, ,    0.05251811,     0.1296442, ,    0.05641592,     0.4487044, ,    0.06037356,     0.5010285, ,    0.06520553,     0.5529911, ,    0.07098095,     0.6045494, ,    0.07758548,     0.6556613, ,     0.0853419,     0.7062856, , 
   0.05296591,     0.3960624, ,    0.05092475,     0.3431467, ,    0.04981511,     0.2900017, ,    0.04962815,     0.2366727, ,    0.05031999,      0.183205, ,    0.05221466,     0.1296442, ,     0.0558478,     0.4487044, ,    0.05975554,     0.5010285, ,    0.06454661,     0.5529911, ,    0.07027025,     0.6045494, ,    0.07681446,     0.6556613, ,    0.08450568,     0.7062856, , 
   0.05251911,     0.3960624, ,    0.05053142,     0.3431467, ,    0.04944556,     0.2900017, ,    0.04928256,     0.2366727, ,    0.05000292,      0.183205, ,    0.05194028,     0.1296442, ,    0.05532815,     0.4487044, ,    0.05918958,     0.5010285, ,    0.06394048,     0.5529911, ,    0.06961368,     0.6045494, ,    0.07609883,     0.6556613, ,     0.0837262,     0.7062856, , 
   0.05211938,     0.3960624, ,    0.05017891,     0.3431467, ,    0.04911002,     0.2900017, ,    0.04896635,     0.2366727, ,    0.04971396,      0.183205, ,    0.05169262,     0.1296442, ,    0.05486107,     0.4487044, ,    0.05867648,     0.5010285, ,    0.06338627,     0.5529911, ,    0.06900941,     0.6045494, ,    0.07543845,     0.6556613, ,    0.08300809,     0.7062856, , 
   0.05175304,     0.3960624, ,    0.04985722,     0.3431467, ,    0.04880241,     0.2900017, ,    0.04867515,     0.2366727, ,    0.04944715,      0.183205, ,    0.05146185,     0.1296442, ,    0.05442957,     0.4487044, ,    0.05819901,     0.5010285, ,    0.06286907,     0.5529911, ,    0.06844501,     0.6045494, ,    0.07482255,     0.6556613, ,    0.08234443,     0.7062856, , 
   0.05142149,     0.3960624, ,    0.04956931,     0.3431467, ,    0.04852755,     0.2900017, ,    0.04841464,     0.2366727, ,    0.04920611,      0.183205, ,    0.05124701,     0.1296442, ,    0.05403374,     0.4487044, ,    0.05775834,     0.5010285, ,      0.062392,     0.5529911, ,     0.0679264,     0.6045494, ,     0.0742591,     0.6556613, ,    0.08174328,     0.7062856, , 
   0.05110119,     0.3960624, ,    0.04929169,     0.3431467, ,    0.04826262,     0.2900017, ,    0.04816387,     0.2366727, ,     0.0489746,      0.183205, ,    0.05104145,     0.1296442, ,    0.05365186,     0.4487044, ,     0.0573332,     0.5010285, ,    0.06192947,     0.5529911, ,     0.0674223,     0.6045494, ,    0.07371295,     0.6556613, ,    0.08116304,     0.7062856, , 
   0.05081973,     0.3960624, ,    0.04905004,     0.3431467, ,    0.04803231,     0.2900017, ,    0.04794744,     0.2366727, ,    0.04877708,      0.183205, ,    0.05086923,     0.1296442, ,     0.0533147,     0.4487044, ,    0.05695605,     0.5010285, ,    0.06151345,     0.5529911, ,    0.06696588,     0.6045494, ,    0.07322543,     0.6556613, ,    0.08065924,     0.7062856, , 
   0.05056157,     0.3960624, ,    0.04882458,     0.3431467, ,    0.04781829,     0.2900017, ,    0.04774703,     0.2366727, ,    0.04859407,      0.183205, ,     0.0507106,     0.1296442, ,    0.05300727,     0.4487044, ,    0.05660595,     0.5010285, ,    0.06112366,     0.5529911, ,    0.06654022,     0.6045494, ,    0.07277107,     0.6556613, ,    0.08018767,     0.7062856, , 
   0.05030649,     0.3960624, ,    0.04860214,     0.3431467, ,    0.04760725,     0.2900017, ,     0.0475496,     0.2366727, ,    0.04841411,      0.183205, ,      0.050555,     0.1296442, ,    0.05270297,     0.4487044, ,    0.05625883,     0.5010285, ,    0.06073667,     0.5529911, ,     0.0661194,     0.6045494, ,     0.0723236,     0.6556613, ,     0.0797224,     0.7062856, , 
   0.05005492,     0.3960624, ,    0.04838278,     0.3431467, ,    0.04739935,     0.2900017, ,     0.0473554,     0.2366727, ,    0.04823747,      0.183205, ,    0.05040273,     0.1296442, ,    0.05240371,     0.4487044, ,    0.05591717,     0.5010285, ,    0.06035366,     0.5529911, ,    0.06570279,     0.6045494, ,    0.07188265,     0.6556613, ,    0.07926436,     0.7062856, , 
   0.04981616,     0.3960624, ,    0.04817383,     0.3431467, ,     0.0472026,     0.2900017, ,    0.04717282,     0.2366727, ,     0.0480729,      0.183205, ,    0.05026298,     0.1296442, ,    0.05213025,     0.4487044, ,      0.055608,     0.5010285, ,     0.0599875,     0.5529911, ,    0.06529059,     0.6045494, ,    0.07145752,     0.6556613, ,    0.07883705,     0.7062856, , 
   0.04960505,     0.3960624, ,    0.04798439,     0.3431467, ,    0.04702565,     0.2900017, ,    0.04700965,     0.2366727, ,     0.0479273,      0.183205, ,    0.05014393,     0.1296442, ,    0.05189263,     0.4487044, ,    0.05532827,     0.5010285, ,    0.05964469,     0.5529911, ,    0.06490309,     0.6045494, ,    0.07106126,     0.6556613, ,    0.07844669,     0.7062856, , 
     0.049412,     0.3960624, ,    0.04780569,     0.3431467, ,    0.04685976,     0.2900017, ,    0.04685754,     0.2366727, ,    0.04779249,      0.183205, ,    0.05003631,     0.1296442, ,    0.05167948,     0.4487044, ,    0.05506606,     0.5010285, ,    0.05931445,     0.5529911, ,    0.06453149,     0.6045494, ,    0.07068333,     0.6556613, ,    0.07807603,     0.7062856, , 
   0.04922804,     0.3960624, ,    0.04763614,     0.3431467, ,    0.04670322,     0.2900017, ,    0.04671519,     0.2366727, ,    0.04766809,      0.183205, ,    0.04994022,     0.1296442, ,    0.05147552,     0.4487044, ,    0.05481253,     0.5010285, ,    0.05899257,     0.5529911, ,    0.06417121,     0.6045494, ,    0.07031996,     0.6556613, ,    0.07772012,     0.7062856, , 
