CD.0, CL.0.0deg,  ,CD.1, CL.1.0deg, , CD.2, CL.2.0deg, , CD.3, CL.3.0deg, , CD.4, CL.4.0deg, , CD.5, CL.5.0deg, , 
    0.0609327,     0.4487044, ,    0.06523345,     0.5010285, ,    0.07036596,     0.5529911, ,    0.07652651,     0.6045494, ,    0.08360116,     0.6556613, ,    0.09192411,     0.7062856, , 
   0.05994905,     0.4487044, ,    0.06417527,     0.5010285, ,    0.06925186,     0.5529911, ,    0.07532679,     0.6045494, ,    0.08227377,     0.6556613, ,    0.09041542,     0.7062856, , 
   0.05912734,     0.4487044, ,    0.06329885,     0.5010285, ,    0.06832034,     0.5529911, ,    0.07432965,     0.6045494, ,     0.0812021,     0.6556613, ,    0.08925481,     0.7062856, , 
   0.05832562,     0.4487044, ,    0.06244377,     0.5010285, ,    0.06741186,     0.5529911, ,    0.07335733,     0.6045494, ,    0.08015722,     0.6556613, ,    0.08812726,     0.7062856, , 
   0.05763732,     0.4487044, ,    0.06169971,     0.5010285, ,    0.06661997,     0.5529911, ,    0.07250673,     0.6045494, ,    0.07923849,     0.6556613, ,    0.08713133,     0.7062856, , 
   0.05702208,     0.4487044, ,     0.0610316,     0.5010285, ,    0.06590725,     0.5529911, ,    0.07173813,     0.6045494, ,    0.07840627,     0.6556613, ,    0.08623013,     0.7062856, , 
   0.05641592,     0.4487044, ,    0.06037356,     0.5010285, ,    0.06520553,     0.5529911, ,    0.07098095,     0.6045494, ,    0.07758548,     0.6556613, ,     0.0853419,     0.7062856, , 
    0.0558478,     0.4487044, ,    0.05975554,     0.5010285, ,    0.06454661,     0.5529911, ,    0.07027025,     0.6045494, ,    0.07681446,     0.6556613, ,    0.08450568,     0.7062856, , 
   0.05532815,     0.4487044, ,    0.05918958,     0.5010285, ,    0.06394048,     0.5529911, ,    0.06961368,     0.6045494, ,    0.07609883,     0.6556613, ,     0.0837262,     0.7062856, , 
   0.05486107,     0.4487044, ,    0.05867648,     0.5010285, ,    0.06338627,     0.5529911, ,    0.06900941,     0.6045494, ,    0.07543845,     0.6556613, ,    0.08300809,     0.7062856, , 
   0.05442957,     0.4487044, ,    0.05819901,     0.5010285, ,    0.06286907,     0.5529911, ,    0.06844501,     0.6045494, ,    0.07482255,     0.6556613, ,    0.08234443,     0.7062856, , 
   0.05403374,     0.4487044, ,    0.05775834,     0.5010285, ,      0.062392,     0.5529911, ,     0.0679264,     0.6045494, ,     0.0742591,     0.6556613, ,    0.08174328,     0.7062856, , 
   0.05365186,     0.4487044, ,     0.0573332,     0.5010285, ,    0.06192947,     0.5529911, ,     0.0674223,     0.6045494, ,    0.07371295,     0.6556613, ,    0.08116304,     0.7062856, , 
    0.0533147,     0.4487044, ,    0.05695605,     0.5010285, ,    0.06151345,     0.5529911, ,    0.06696588,     0.6045494, ,    0.07322543,     0.6556613, ,    0.08065924,     0.7062856, , 
   0.05300727,     0.4487044, ,    0.05660595,     0.5010285, ,    0.06112366,     0.5529911, ,    0.06654022,     0.6045494, ,    0.07277107,     0.6556613, ,    0.08018767,     0.7062856, , 
   0.05270297,     0.4487044, ,    0.05625883,     0.5010285, ,    0.06073667,     0.5529911, ,     0.0661194,     0.6045494, ,     0.0723236,     0.6556613, ,     0.0797224,     0.7062856, , 
   0.05240371,     0.4487044, ,    0.05591717,     0.5010285, ,    0.06035366,     0.5529911, ,    0.06570279,     0.6045494, ,    0.07188265,     0.6556613, ,    0.07926436,     0.7062856, , 
   0.05213025,     0.4487044, ,      0.055608,     0.5010285, ,     0.0599875,     0.5529911, ,    0.06529059,     0.6045494, ,    0.07145752,     0.6556613, ,    0.07883705,     0.7062856, , 
   0.05189263,     0.4487044, ,    0.05532827,     0.5010285, ,    0.05964469,     0.5529911, ,    0.06490309,     0.6045494, ,    0.07106126,     0.6556613, ,    0.07844669,     0.7062856, , 
   0.05167948,     0.4487044, ,    0.05506606,     0.5010285, ,    0.05931445,     0.5529911, ,    0.06453149,     0.6045494, ,    0.07068333,     0.6556613, ,    0.07807603,     0.7062856, , 
   0.05147552,     0.4487044, ,    0.05481253,     0.5010285, ,    0.05899257,     0.5529911, ,    0.06417121,     0.6045494, ,    0.07031996,     0.6556613, ,    0.07772012,     0.7062856, , 
    0.0512894,     0.4487044, ,     0.0545791,     0.5010285, ,    0.05868509,     0.5529911, ,    0.06382339,     0.6045494, ,    0.06997703,     0.6556613, ,    0.07739114,     0.7062856, , 
   0.05110891,     0.4487044, ,    0.05435187,     0.5010285, ,    0.05837941,     0.5529911, ,    0.06347378,     0.6045494, ,    0.06963771,     0.6556613, ,    0.07707391,     0.7062856, , 
   0.05095137,     0.4487044, ,    0.05414306,     0.5010285, ,    0.05808901,     0.5529911, ,    0.06314149,     0.6045494, ,    0.06931828,     0.6556613, ,    0.07677856,     0.7062856, , 
   0.05080387,     0.4487044, ,    0.05394351,     0.5010285, ,    0.05780711,     0.5529911, ,    0.06281954,     0.6045494, ,    0.06901109,     0.6556613, ,    0.07649704,     0.7062856, , 
    0.0506553,     0.4487044, ,    0.05374275,     0.5010285, ,    0.05752828,     0.5529911, ,    0.06250443,     0.6045494, ,    0.06870975,     0.6556613, ,    0.07622015,     0.7062856, , 
   0.05050551,     0.4487044, ,     0.0535402,     0.5010285, ,    0.05726099,     0.5529911, ,    0.06221578,     0.6045494, ,    0.06843286,     0.6556613, ,    0.07595883,     0.7062856, , 
   0.05035633,     0.4487044, ,    0.05334249,     0.5010285, ,     0.0570012,     0.5529911, ,     0.0619343,     0.6045494, ,    0.06816363,     0.6556613, ,    0.07570494,     0.7062856, , 
   0.05020719,     0.4487044, ,     0.0531512,     0.5010285, ,    0.05675208,     0.5529911, ,    0.06166186,     0.6045494, ,    0.06790334,     0.6556613, ,    0.07546088,     0.7062856, , 
   0.05006415,     0.4487044, ,    0.05296783,     0.5010285, ,    0.05651361,     0.5529911, ,    0.06139966,     0.6045494, ,    0.06765252,     0.6556613, ,    0.07522665,     0.7062856, , 
    0.0499248,     0.4487044, ,    0.05278821,     0.5010285, ,    0.05629093,     0.5529911, ,    0.06116258,     0.6045494, ,    0.06742491,     0.6556613, ,    0.07501542,     0.7062856, , 

