CD.0, CL.0.0deg,  ,CD.1, CL.1.0deg, , CD.2, CL.2.0deg, , CD.3, CL.3.0deg, , CD.4, CL.4.0deg, , CD.5, CL.5.0deg, , 
   0.07437938,     0.5030186, ,    0.08029481,     0.5575579, ,    0.08739153,     0.6116791, ,    0.09543621,      0.665337, ,     0.1047976,      0.718487, ,     0.1097694,     0.7710857, , 
   0.07264692,     0.5030186, ,    0.07854138,     0.5575579, ,    0.08546319,     0.6116791, ,    0.09342436,      0.665337, ,      0.102636,      0.718487, ,     0.1084682,     0.7710857, , 
    0.0714709,     0.5030186, ,    0.07730709,     0.5575579, ,    0.08414875,     0.6116791, ,     0.0920162,      0.665337, ,     0.1011024,      0.718487, ,     0.1075366,     0.7710857, , 
   0.07050093,     0.5030186, ,    0.07626621,     0.5575579, ,    0.08303763,     0.6116791, ,    0.09082107,      0.665337, ,    0.09979788,      0.718487, ,     0.1067412,     0.7710857, , 
   0.06955379,     0.5030186, ,    0.07525668,     0.5575579, ,    0.08195166,     0.6116791, ,    0.08965133,      0.665337, ,    0.09852177,      0.718487, ,     0.1060241,     0.7710857, , 
   0.06872608,     0.5030186, ,    0.07437263,     0.5575579, ,    0.08099981,     0.6116791, ,    0.08863388,      0.665337, ,     0.0974381,      0.718487, ,     0.1054432,     0.7710857, , 
   0.06795445,     0.5030186, ,    0.07354319,     0.5575579, ,    0.08011116,     0.6116791, ,    0.08768496,      0.665337, ,    0.09643755,      0.718487, ,     0.1049399,     0.7710857, , 
   0.06723209,     0.5030186, ,    0.07276763,     0.5575579, ,    0.07927796,     0.6116791, ,    0.08679612,      0.665337, ,    0.09549638,      0.718487, ,     0.1044716,     0.7710857, , 
   0.06660943,     0.5030186, ,    0.07209809,     0.5575579, ,    0.07855585,     0.6116791, ,    0.08602381,      0.665337, ,    0.09467865,      0.718487, ,     0.1040296,     0.7710857, , 
   0.06602135,     0.5030186, ,    0.07146341,     0.5575579, ,    0.07787177,     0.6116791, ,    0.08528967,      0.665337, ,    0.09390131,      0.718487, ,      0.103559,     0.7710857, , 
   0.06544485,     0.5030186, ,    0.07083976,     0.5575579, ,    0.07719842,     0.6116791, ,    0.08456782,      0.665337, ,    0.09313544,      0.718487, ,     0.1030976,     0.7710857, , 
   0.06487798,     0.5030186, ,     0.0702257,     0.5575579, ,    0.07653432,     0.6116791, ,    0.08385486,      0.665337, ,    0.09237805,      0.718487, ,     0.1026953,     0.7710857, , 
   0.06438933,     0.5030186, ,    0.06969262,     0.5575579, ,    0.07596193,     0.6116791, ,    0.08324363,      0.665337, ,    0.09173908,      0.718487, ,     0.1023026,     0.7710857, , 
   0.06398328,     0.5030186, ,    0.06924628,     0.5575579, ,    0.07548646,     0.6116791, ,    0.08273905,      0.665337, ,    0.09122151,      0.718487, ,     0.1019138,     0.7710857, , 
   0.06361925,     0.5030186, ,    0.06884635,     0.5575579, ,    0.07506123,     0.6116791, ,    0.08228801,      0.665337, ,    0.09076004,      0.718487, ,     0.1015286,     0.7710857, , 
   0.06326233,     0.5030186, ,    0.06845428,     0.5575579, ,    0.07464448,     0.6116791, ,    0.08184591,      0.665337, ,    0.09030785,      0.718487, ,     0.1011598,     0.7710857, , 
   0.06290832,     0.5030186, ,    0.06806537,     0.5575579, ,    0.07423115,     0.6116791, ,    0.08140745,      0.665337, ,    0.08985951,      0.718487, ,     0.1007808,     0.7710857, , 
    0.0625568,     0.5030186, ,    0.06767918,     0.5575579, ,    0.07382074,     0.6116791, ,    0.08097215,      0.665337, ,     0.0894145,      0.718487, ,     0.1003859,     0.7710857, , 
   0.06221714,     0.5030186, ,    0.06730538,     0.5575579, ,    0.07342348,     0.6116791, ,    0.08055091,      0.665337, ,     0.0889847,      0.718487, ,    0.09999412,     0.7710857, , 
   0.06190394,     0.5030186, ,    0.06695975,     0.5575579, ,    0.07305698,     0.6116791, ,    0.08016147,      0.665337, ,     0.0885856,      0.718487, ,    0.09960474,     0.7710857, , 
   0.06162354,     0.5030186, ,     0.0666494,     0.5575579, ,    0.07272956,     0.6116791, ,    0.07981269,      0.665337, ,    0.08822559,      0.718487, ,    0.09923826,     0.7710857, , 
   0.06134533,     0.5030186, ,    0.06634138,     0.5575579, ,    0.07240462,     0.6116791, ,    0.07946662,      0.665337, ,    0.08786851,      0.718487, ,    0.09888723,     0.7710857, , 
   0.06106886,     0.5030186, ,     0.0660352,     0.5575579, ,    0.07208163,     0.6116791, ,    0.07912268,      0.665337, ,    0.08751373,      0.718487, ,    0.09854839,     0.7710857, , 
   0.06081757,     0.5030186, ,    0.06575606,     0.5575579, ,     0.0717879,     0.6116791, ,    0.07881964,      0.665337, ,    0.08720264,      0.718487, ,     0.0982248,     0.7710857, , 
   0.06057897,     0.5030186, ,    0.06549044,     0.5575579, ,    0.07150854,     0.6116791, ,    0.07853334,      0.665337, ,    0.08690947,      0.718487, ,    0.09790905,     0.7710857, , 
    0.0603491,     0.5030186, ,    0.06523401,     0.5575579, ,    0.07123892,     0.6116791, ,    0.07825739,      0.665337, ,     0.0866275,      0.718487, ,    0.09759539,     0.7710857, , 
   0.06013257,     0.5030186, ,    0.06499218,     0.5575579, ,    0.07098425,     0.6116791, ,    0.07799682,      0.665337, ,    0.08636153,      0.718487, ,    0.09728875,     0.7710857, , 
   0.05992845,     0.5030186, ,    0.06476478,     0.5575579, ,    0.07074333,     0.6116791, ,    0.07774923,      0.665337, ,    0.08610758,      0.718487, ,    0.09698861,     0.7710857, , 
   0.05972583,     0.5030186, ,    0.06453894,     0.5575579, ,    0.07050407,     0.6116791, ,     0.0775034,      0.665337, ,    0.08585554,      0.718487, , , , , 
   0.05952808,     0.5030186, ,    0.06431832,     0.5575579, ,    0.07027032,     0.6116791, ,    0.07726342,      0.665337, ,    0.08560986,      0.718487, , , , , 
   0.05933489,     0.5030186, ,    0.06410259,     0.5575579, ,    0.07004173,     0.6116791, ,    0.07702871,      0.665337, ,     0.0853698,      0.718487, , , , , 

