CD,T4--1.0°-VLM2, , CD,T4--2.0°-VLM2, , CD,T4--3.0°-VLM2, , CD,T4--4.0°-VLM2, , CD,T4--5.0°-VLM2, , CD,T4--6.0°-VLM2, , CD,T4-0.0°-VLM2, , CD,T4-1.0°-VLM2, , CD,T4-2.0°-VLM2, , CD,T4-3.0°-VLM2, , CD,T4-4.0°-VLM2, , CD,T4-5.0°-VLM2, , 
   0.05066968,     0.4477013, ,    0.04894922,     0.4080205, ,    0.04769472,     0.3681422, ,    0.04685355,     0.3280961, ,    0.04664971,     0.2879123, ,    0.04845851,      0.247621, ,     0.0528339,     0.4871549, ,    0.05542517,     0.5263521, ,    0.05846179,      0.565264, ,    0.06191215,     0.6038622, ,      0.065777,     0.6421188, ,    0.07002313,     0.6800062, , 
   0.04997829,     0.4477013, ,    0.04824305,     0.4080205, ,    0.04695783,     0.3681422, ,    0.04604402,     0.3280961, ,    0.04575972,     0.2879123, ,     0.0476513,      0.247621, ,    0.05213904,     0.4871549, ,    0.05472543,     0.5263521, ,    0.05774839,      0.565264, ,    0.06118116,     0.6038622, ,    0.06502393,     0.6421188, ,    0.06924547,     0.6800062, , 
   0.04936444,     0.4477013, ,    0.04761904,     0.4080205, ,    0.04631216,     0.3681422, ,    0.04534657,     0.3280961, ,    0.04496133,     0.2879123, ,    0.04681103,      0.247621, ,    0.05152034,     0.4871549, ,    0.05410047,     0.5263521, ,    0.05710859,      0.565264, ,    0.06052586,     0.6038622, ,    0.06434944,     0.6421188, ,    0.06854442,     0.6800062, , 
   0.04879558,     0.4477013, ,    0.04704021,     0.4080205, ,    0.04570816,     0.3681422, ,    0.04470466,     0.3280961, ,    0.04425415,     0.2879123, ,    0.04600534,      0.247621, ,    0.05095081,     0.4871549, ,    0.05352389,     0.5263521, ,     0.0565159,      0.565264, ,    0.05992074,     0.6038622, ,    0.06372887,     0.6421188, ,    0.06789905,     0.6800062, , 
   0.04827741,     0.4477013, ,    0.04651027,     0.4080205, ,    0.04514194,     0.3681422, ,    0.04404691,     0.3280961, ,    0.04352249,     0.2879123, ,    0.04542518,      0.247621, ,    0.05043252,     0.4871549, ,    0.05300032,     0.5263521, ,    0.05597424,      0.565264, ,    0.05936697,     0.6038622, ,    0.06315961,     0.6421188, ,    0.06729934,     0.6800062, , 
   0.04777781,     0.4477013, ,    0.04600868,     0.4080205, ,    0.04462076,     0.3681422, ,    0.04339446,     0.3280961, ,    0.04267915,     0.2879123, ,    0.04475063,      0.247621, ,    0.04992002,     0.4871549, ,    0.05247524,     0.5263521, ,    0.05542381,      0.565264, ,    0.05879601,     0.6038622, ,    0.06256454,     0.6421188, ,    0.06668243,     0.6800062, , 
   0.04728482,     0.4477013, ,    0.04551159,     0.4080205, ,    0.04410423,     0.3681422, ,    0.04279695,     0.3280961, ,    0.04194605,     0.2879123, ,    0.04413639,      0.247621, ,    0.04942127,     0.4871549, ,    0.05196679,     0.5263521, ,    0.05493999,      0.565264, ,     0.0582997,     0.6038622, ,    0.06205344,     0.6421188, ,    0.06617868,     0.6800062, , 
   0.04688657,     0.4477013, ,    0.04510167,     0.4080205, ,    0.04367529,     0.3681422, ,    0.04231578,     0.3280961, ,    0.04130019,     0.2879123, ,    0.04313346,      0.247621, ,     0.0490184,     0.4871549, ,    0.05155399,     0.5263521, ,    0.05450009,      0.565264, ,    0.05784392,     0.6038622, ,    0.06157893,     0.6421188, ,      0.065676,     0.6800062, , 
   0.04648049,     0.4477013, ,    0.04462485,     0.4080205, ,    0.04313974,     0.3681422, ,    0.04184672,     0.3280961, ,    0.04091792,     0.2879123, ,    0.04265623,      0.247621, ,    0.04860738,     0.4871549, ,    0.05113395,     0.5263521, ,    0.05406718,      0.565264, ,     0.0573947,     0.6038622, ,    0.06111138,     0.6421188, ,    0.06519029,     0.6800062, , 
   0.04609472,     0.4477013, ,    0.04423598,     0.4080205, ,    0.04275082,     0.3681422, ,    0.04150627,     0.3280961, ,    0.04059288,     0.2879123, ,    0.04245716,      0.247621, ,    0.04820046,     0.4871549, ,    0.05070355,     0.5263521, ,    0.05361645,      0.565264, ,    0.05692064,     0.6038622, ,    0.06061146,     0.6421188, ,    0.06466371,     0.6800062, , 
   0.04572564,     0.4477013, ,    0.04392465,     0.4080205, ,    0.04248874,     0.3681422, ,    0.04126928,     0.3280961, ,    0.04034756,     0.2879123, ,    0.04166695,      0.247621, ,    0.04779985,     0.4871549, ,    0.05027413,     0.5263521, ,    0.05318177,      0.565264, ,    0.05646965,     0.6038622, ,    0.06014359,     0.6421188, ,    0.06419819,     0.6800062, , 
   0.04540863,     0.4477013, ,    0.04360032,     0.4080205, ,    0.04208693,     0.3681422, ,    0.04093089,     0.3280961, ,    0.04009307,     0.2879123, ,    0.04151392,      0.247621, ,    0.04745438,     0.4871549, ,    0.04989765,     0.5263521, ,    0.05277883,      0.565264, ,    0.05605583,     0.6038622, ,    0.05971809,     0.6421188, ,    0.06374302,     0.6800062, , 
