CD,T4--1.0°-VLM2, , CD,T4--2.0°-VLM2, , CD,T4--3.0°-VLM2, , CD,T4--4.0°-VLM2, , CD,T4--5.0°-VLM2, , CD,T4--6.0°-VLM2, , CD,T4-0.0°-VLM2, , CD,T4-1.0°-VLM2, , CD,T4-2.0°-VLM2, , CD,T4-3.0°-VLM2, , CD,T4-4.0°-VLM2, , CD,T4-5.0°-VLM2, , 
   0.05654259,     0.5410238, ,     0.0541443,      0.477015, ,    0.05279563,     0.4127212, ,    0.05264677,     0.3481938, ,    0.05416745,     0.2834844, ,    0.05741258,     0.2186449, ,    0.05957546,      0.604697, ,    0.06384119,     0.6679842, ,    0.06891429,     0.7308359, ,    0.07496764,     0.7932033, ,    0.08204704,     0.8550385, ,    0.08998228,     0.9162945, , 
   0.05581489,     0.5410238, ,    0.05348559,      0.477015, ,     0.0522271,     0.4127212, ,    0.05226795,     0.3481938, ,    0.05391889,     0.2834844, ,    0.05723628,     0.2186449, ,    0.05886076,      0.604697, ,    0.06304643,     0.6679842, ,    0.06805775,     0.7308359, ,    0.07406461,     0.7932033, ,    0.08113036,     0.8550385, ,     0.0890729,     0.9162945, , 
   0.05513696,     0.5410238, ,    0.05287381,      0.477015, ,    0.05169738,     0.4127212, ,    0.05192103,     0.3481938, ,    0.05408676,     0.2834844, ,    0.05796287,     0.2186449, ,    0.05818901,      0.604697, ,    0.06230078,     0.6679842, ,    0.06729579,     0.7308359, ,    0.07326739,     0.7932033, ,    0.08031012,     0.8550385, ,    0.08827895,     0.9162945, , 
   0.05449543,     0.5410238, ,    0.05229842,      0.477015, ,    0.05119619,     0.4127212, ,    0.05158443,     0.3481938, ,    0.05371711,     0.2834844, ,    0.05744712,     0.2186449, ,    0.05754054,      0.604697, ,    0.06159894,     0.6679842, ,    0.06662603,     0.7308359, ,    0.07259209,     0.7932033, ,    0.07961642,     0.8550385, ,    0.08755484,     0.9162945, , 
   0.05388405,     0.5410238, ,    0.05175371,      0.477015, ,     0.0507161,     0.4127212, ,    0.05125001,     0.3481938, ,    0.05329198,     0.2834844, ,    0.05675921,     0.2186449, ,    0.05693145,      0.604697, ,     0.0609347,     0.6679842, ,    0.06600263,     0.7308359, ,    0.07197879,     0.7932033, ,    0.07898574,     0.8550385, ,    0.08688292,     0.9162945, , 
   0.05340417,     0.5410238, ,     0.0513458,      0.477015, ,    0.05037493,     0.4127212, ,    0.05101411,     0.3481938, ,    0.05320905,     0.2834844, ,     0.0567285,     0.2186449, ,    0.05641477,      0.604697, ,    0.06038407,     0.6679842, ,     0.0654522,     0.7308359, ,     0.0714291,     0.7932033, ,    0.07842997,     0.8550385, ,    0.08630134,     0.9162945, , 
   0.05292218,     0.5410238, ,    0.05096819,      0.477015, ,    0.05011235,     0.4127212, ,    0.05091616,     0.3481938, ,    0.05306888,     0.2834844, ,    0.05673194,     0.2186449, ,    0.05592873,      0.604697, ,    0.05990081,     0.6679842, ,    0.06495182,     0.7308359, ,    0.07091486,     0.7932033, ,    0.07790713,     0.8550385, ,     0.0857559,     0.9162945, , 
   0.05237308,     0.5410238, ,    0.05057821,      0.477015, ,    0.04982196,     0.4127212, ,    0.05066767,     0.3481938, ,    0.05283465,     0.2834844, ,     0.0565163,     0.2186449, ,    0.05542097,      0.604697, ,    0.05947291,     0.6679842, ,    0.06451342,     0.7308359, ,    0.07045389,     0.7932033, ,    0.07740878,     0.8550385, ,    0.08524361,     0.9162945, , 
   0.05188915,     0.5410238, ,    0.05024229,      0.477015, ,     0.0496031,     0.4127212, ,    0.05055433,     0.3481938, ,    0.05275884,     0.2834844, ,    0.05640393,     0.2186449, ,    0.05494653,      0.604697, ,    0.05907208,     0.6679842, ,    0.06410764,     0.7308359, ,    0.07002597,     0.7932033, ,    0.07694249,     0.8550385, ,    0.08476825,     0.9162945, , 
   0.05149253,     0.5410238, ,    0.04988403,      0.477015, ,    0.04925703,     0.4127212, ,    0.05029687,     0.3481938, ,    0.05275439,     0.2834844, ,    0.05682292,     0.2186449, ,    0.05452116,      0.604697, ,     0.0586915,     0.6679842, ,    0.06373423,     0.7308359, ,    0.06963479,     0.7932033, ,    0.07656072,     0.8550385, ,    0.08440465,     0.9162945, , 
   0.05114843,     0.5410238, ,    0.04952512,      0.477015, ,    0.04888455,     0.4127212, ,    0.05000915,     0.3481938, ,    0.05276858,     0.2834844, ,    0.05728829,     0.2186449, ,    0.05414283,      0.604697, ,    0.05831687,     0.6679842, ,    0.06336845,     0.7308359, ,    0.06925224,     0.7932033, ,    0.07619803,     0.8550385, ,    0.08407776,     0.9162945, , 
   0.05084731,     0.5410238, ,    0.04921665,      0.477015, ,     0.0485556,     0.4127212, ,    0.04951583,     0.3481938, ,     0.0522942,     0.2834844, ,    0.05661926,     0.2186449, ,    0.05382541,      0.604697, ,    0.05797743,     0.6679842, ,    0.06301795,     0.7308359, ,    0.06888164,     0.7932033, ,    0.07584188,     0.8550385, ,    0.08376793,     0.9162945, , 
    0.0505321,     0.5410238, ,    0.04866873,      0.477015, ,    0.04804494,     0.4127212, ,    0.04938212,     0.3481938, ,    0.05197687,     0.2834844, ,    0.05588322,     0.2186449, ,    0.05354413,      0.604697, ,    0.05767317,     0.6679842, ,     0.0626856,     0.7308359, ,    0.06851328,     0.7932033, ,    0.07549021,     0.8550385, ,    0.08347942,     0.9162945, , 
   0.05022416,     0.5410238, ,    0.04816195,      0.477015, ,    0.04760702,     0.4127212, ,    0.04916014,     0.3481938, ,    0.05180846,     0.2834844, ,     0.0557406,     0.2186449, ,    0.05329148,      0.604697, ,    0.05740333,     0.6679842, ,    0.06238355,     0.7308359, ,    0.06817729,     0.7932033, ,    0.07515999,     0.8550385, ,    0.08318658,     0.9162945, , 
   0.04994375,     0.5410238, ,    0.04780398,      0.477015, ,     0.0473473,     0.4127212, ,    0.04903202,     0.3481938, ,    0.05159256,     0.2834844, ,    0.05561755,     0.2186449, ,    0.05305281,      0.604697, ,    0.05714883,     0.6679842, ,    0.06209433,     0.7308359, ,    0.06786619,     0.7932033, ,    0.07486334,     0.8550385, ,    0.08290336,     0.9162945, , 
    0.0496819,     0.5410238, ,    0.04752241,      0.477015, ,    0.04716319,     0.4127212, ,    0.04895309,     0.3481938, ,    0.05150113,     0.2834844, ,    0.05561776,     0.2186449, ,    0.05283024,      0.604697, ,    0.05690978,     0.6679842, ,    0.06181693,     0.7308359, ,    0.06758185,     0.7932033, ,    0.07460229,     0.8550385, ,    0.08265174,     0.9162945, , 
   0.04936723,     0.5410238, ,    0.04724523,      0.477015, ,    0.04696461,     0.4127212, ,    0.04883381,     0.3481938, ,    0.05136112,     0.2834844, ,    0.05553096,     0.2186449, ,    0.05258997,      0.604697, ,     0.0566757,     0.6679842, ,    0.06154246,     0.7308359, ,    0.06731596,     0.7932033, ,    0.07436226,     0.8550385, ,    0.08242435,     0.9162945, , 
   0.04911483,     0.5410238, ,    0.04699159,      0.477015, ,    0.04669834,     0.4127212, ,    0.04857304,     0.3481938, ,    0.05113007,     0.2834844, ,    0.05536599,     0.2186449, ,    0.05234812,      0.604697, ,    0.05644159,     0.6679842, ,     0.0612729,     0.7308359, ,    0.06707428,     0.7932033, ,    0.07414995,     0.8550385, ,    0.08221579,     0.9162945, , 
   0.04888368,     0.5410238, ,    0.04680099,      0.477015, ,    0.04640959,     0.4127212, ,    0.04789406,     0.3481938, ,      0.050773,     0.2834844, ,    0.05527476,     0.2186449, ,     0.0521135,      0.604697, ,    0.05618842,     0.6679842, ,    0.06099238,     0.7308359, ,    0.06684186,     0.7932033, ,    0.07395118,     0.8550385, ,    0.08201872,     0.9162945, , 
   0.04869651,     0.5410238, ,    0.04661015,      0.477015, ,    0.04584341,     0.4127212, ,    0.04699048,     0.3481938, ,    0.05052858,     0.2834844, ,    0.05522912,     0.2186449, ,    0.05190708,      0.604697, ,    0.05593734,     0.6679842, ,    0.06069485,     0.7308359, ,     0.0666058,     0.7932033, ,    0.07376569,     0.8550385, ,    0.08182649,     0.9162945, , 
   0.04852846,     0.5410238, ,    0.04645876,      0.477015, ,    0.04562136,     0.4127212, ,    0.04664888,     0.3481938, ,     0.0504507,     0.2834844, ,    0.05521323,     0.2186449, ,    0.05173655,      0.604697, ,    0.05571867,     0.6679842, ,    0.06041839,     0.7308359, ,    0.06637324,     0.7932033, ,    0.07357617,     0.8550385, ,    0.08162485,     0.9162945, , 
    0.0483989,     0.5410238, ,    0.04641115,      0.477015, ,    0.04553202,     0.4127212, ,    0.04657828,     0.3481938, ,    0.05043691,     0.2834844, ,     0.0551364,     0.2186449, ,    0.05158121,      0.604697, ,    0.05552275,     0.6679842, ,    0.06017831,     0.7308359, ,    0.06618004,     0.7932033, ,    0.07339981,     0.8550385, ,    0.08143882,     0.9162945, , 
   0.04819892,     0.5410238, ,     0.0462794,      0.477015, ,    0.04545056,     0.4127212, ,    0.04657867,     0.3481938, ,    0.05036465,     0.2834844, ,    0.05500024,     0.2186449, ,    0.05142845,      0.604697, ,     0.0553363,     0.6679842, ,    0.05995702,     0.7308359, ,    0.06600606,     0.7932033, ,    0.07323642,     0.8550385, ,    0.08126777,     0.9162945, , 
   0.04795773,     0.5410238, ,    0.04579024,      0.477015, ,    0.04471396,     0.4127212, ,    0.04571971,     0.3481938, ,    0.04983747,     0.2834844, ,     0.0548845,     0.2186449, ,    0.05126405,      0.604697, ,    0.05515976,     0.6679842, ,    0.05975695,     0.7308359, ,    0.06584958,     0.7932033, ,    0.07308556,     0.8550385, ,    0.08112455,     0.9162945, , 
