CD.0, CL.0.0deg,  ,CD.1, CL.1.0deg, , CD.2, CL.2.0deg, , CD.3, CL.3.0deg, , CD.4, CL.4.0deg, , CD.5, CL.5.0deg, , 
   0.05957546,      0.604697, ,    0.06384119,     0.6679842, ,    0.06891429,     0.7308359, ,    0.07496764,     0.7932033, ,    0.08204704,     0.8550385, ,    0.08998228,     0.9162945, , 
   0.05886076,      0.604697, ,    0.06304643,     0.6679842, ,    0.06805775,     0.7308359, ,    0.07406461,     0.7932033, ,    0.08113036,     0.8550385, ,     0.0890729,     0.9162945, , 
   0.05818901,      0.604697, ,    0.06230078,     0.6679842, ,    0.06729579,     0.7308359, ,    0.07326739,     0.7932033, ,    0.08031012,     0.8550385, ,    0.08827895,     0.9162945, , 
   0.05754054,      0.604697, ,    0.06159894,     0.6679842, ,    0.06662603,     0.7308359, ,    0.07259209,     0.7932033, ,    0.07961642,     0.8550385, ,    0.08755484,     0.9162945, , 
   0.05693145,      0.604697, ,     0.0609347,     0.6679842, ,    0.06600263,     0.7308359, ,    0.07197879,     0.7932033, ,    0.07898574,     0.8550385, ,    0.08688292,     0.9162945, , 
   0.05641477,      0.604697, ,    0.06038407,     0.6679842, ,     0.0654522,     0.7308359, ,     0.0714291,     0.7932033, ,    0.07842997,     0.8550385, ,    0.08630134,     0.9162945, , 
   0.05592873,      0.604697, ,    0.05990081,     0.6679842, ,    0.06495182,     0.7308359, ,    0.07091486,     0.7932033, ,    0.07790713,     0.8550385, ,     0.0857559,     0.9162945, , 
   0.05542097,      0.604697, ,    0.05947291,     0.6679842, ,    0.06451342,     0.7308359, ,    0.07045389,     0.7932033, ,    0.07740878,     0.8550385, ,    0.08524361,     0.9162945, , 
   0.05494653,      0.604697, ,    0.05907208,     0.6679842, ,    0.06410764,     0.7308359, ,    0.07002597,     0.7932033, ,    0.07694249,     0.8550385, ,    0.08476825,     0.9162945, , 
   0.05452116,      0.604697, ,     0.0586915,     0.6679842, ,    0.06373423,     0.7308359, ,    0.06963479,     0.7932033, ,    0.07656072,     0.8550385, ,    0.08440465,     0.9162945, , 
   0.05414283,      0.604697, ,    0.05831687,     0.6679842, ,    0.06336845,     0.7308359, ,    0.06925224,     0.7932033, ,    0.07619803,     0.8550385, ,    0.08407776,     0.9162945, , 
   0.05382541,      0.604697, ,    0.05797743,     0.6679842, ,    0.06301795,     0.7308359, ,    0.06888164,     0.7932033, ,    0.07584188,     0.8550385, ,    0.08376793,     0.9162945, , 
   0.05354413,      0.604697, ,    0.05767317,     0.6679842, ,     0.0626856,     0.7308359, ,    0.06851328,     0.7932033, ,    0.07549021,     0.8550385, ,    0.08347942,     0.9162945, , 
   0.05329148,      0.604697, ,    0.05740333,     0.6679842, ,    0.06238355,     0.7308359, ,    0.06817729,     0.7932033, ,    0.07515999,     0.8550385, ,    0.08318658,     0.9162945, , 
   0.05305281,      0.604697, ,    0.05714883,     0.6679842, ,    0.06209433,     0.7308359, ,    0.06786619,     0.7932033, ,    0.07486334,     0.8550385, ,    0.08290336,     0.9162945, , 
   0.05283024,      0.604697, ,    0.05690978,     0.6679842, ,    0.06181693,     0.7308359, ,    0.06758185,     0.7932033, ,    0.07460229,     0.8550385, ,    0.08265174,     0.9162945, , 
   0.05258997,      0.604697, ,     0.0566757,     0.6679842, ,    0.06154246,     0.7308359, ,    0.06731596,     0.7932033, ,    0.07436226,     0.8550385, ,    0.08242435,     0.9162945, , 
   0.05234812,      0.604697, ,    0.05644159,     0.6679842, ,     0.0612729,     0.7308359, ,    0.06707428,     0.7932033, ,    0.07414995,     0.8550385, ,    0.08221579,     0.9162945, , 
    0.0521135,      0.604697, ,    0.05618842,     0.6679842, ,    0.06099238,     0.7308359, ,    0.06684186,     0.7932033, ,    0.07395118,     0.8550385, ,    0.08201872,     0.9162945, , 
   0.05190708,      0.604697, ,    0.05593734,     0.6679842, ,    0.06069485,     0.7308359, ,     0.0666058,     0.7932033, ,    0.07376569,     0.8550385, ,    0.08182649,     0.9162945, , 
   0.05173655,      0.604697, ,    0.05571867,     0.6679842, ,    0.06041839,     0.7308359, ,    0.06637324,     0.7932033, ,    0.07357617,     0.8550385, ,    0.08162485,     0.9162945, , 
   0.05158121,      0.604697, ,    0.05552275,     0.6679842, ,    0.06017831,     0.7308359, ,    0.06618004,     0.7932033, ,    0.07339981,     0.8550385, ,    0.08143882,     0.9162945, , 
   0.05142845,      0.604697, ,     0.0553363,     0.6679842, ,    0.05995702,     0.7308359, ,    0.06600606,     0.7932033, ,    0.07323642,     0.8550385, ,    0.08126777,     0.9162945, , 
   0.05126405,      0.604697, ,    0.05515976,     0.6679842, ,    0.05975695,     0.7308359, ,    0.06584958,     0.7932033, ,    0.07308556,     0.8550385, ,    0.08112455,     0.9162945, , 
   0.05111078,      0.604697, ,    0.05499324,     0.6679842, ,     0.0595759,     0.7308359, ,    0.06570474,     0.7932033, ,    0.07294149,     0.8550385, ,    0.08096229,     0.9162945, , 
   0.05098165,      0.604697, ,    0.05483686,     0.6679842, ,    0.05940771,     0.7308359, ,    0.06556748,     0.7932033, ,    0.07280399,     0.8550385, ,    0.08083427,     0.9162945, , 
   0.05083701,      0.604697, ,    0.05468828,     0.6679842, ,    0.05925499,     0.7308359, ,    0.06543863,     0.7932033, ,    0.07267192,     0.8550385, ,    0.08072419,     0.9162945, , 
   0.05065495,      0.604697, ,    0.05453975,     0.6679842, ,    0.05911578,     0.7308359, ,     0.0653171,     0.7932033, ,    0.07257342,     0.8550385, ,    0.08061792,     0.9162945, , 
   0.05046626,      0.604697, ,    0.05436365,     0.6679842, ,    0.05896948,     0.7308359, ,    0.06519735,     0.7932033, ,    0.07248036,     0.8550385, ,    0.08051499,     0.9162945, , 
   0.05030728,      0.604697, ,    0.05418192,     0.6679842, ,    0.05879804,     0.7308359, ,    0.06505456,     0.7932033, ,     0.0723167,     0.8550385, ,    0.08031877,     0.9162945, , 
   0.04985263,      0.604697, ,    0.05361175,     0.6679842, ,    0.05861019,     0.7308359, ,    0.06493137,     0.7932033, ,    0.07215098,     0.8550385, ,    0.08010331,     0.9162945, , 

