CD,T4--1.0°-VLM2, , CD,T4--2.0°-VLM2, , CD,T4--3.0°-VLM2, , CD,T4--4.0°-VLM2, , CD,T4--5.0°-VLM2, , CD,T4--6.0°-VLM2, , CD,T4-0.0°-VLM2, , CD,T4-1.0°-VLM2, , CD,T4-2.0°-VLM2, , CD,T4-3.0°-VLM2, , CD,T4-4.0°-VLM2, , CD,T4-5.0°-VLM2, , 
   0.04499662,      0.468086, ,    0.04346329,     0.4020406, ,    0.04329528,     0.3357657, ,    0.04446634,     0.2693118, ,    0.04690402,     0.2027296, ,    0.05068009,     0.1360699, ,    0.04769988,      0.533852, ,    0.05143752,     0.5992888, ,    0.05628431,     0.6643475, ,    0.06208596,     0.7289796, ,    0.06894735,     0.7931375, ,    0.07740375,     0.8567743, , 
   0.04399826,      0.468086, ,    0.04251491,     0.4020406, ,    0.04238429,     0.3357657, ,    0.04363647,     0.2693118, ,    0.04614448,     0.2027296, ,    0.05003225,     0.1360699, ,    0.04664418,      0.533852, ,    0.05031726,     0.5992888, ,    0.05515392,     0.6643475, ,    0.06095179,     0.7289796, ,     0.0677228,     0.7931375, ,    0.07626367,     0.8567743, , 
   0.04313715,      0.468086, ,    0.04170893,     0.4020406, ,    0.04160538,     0.3357657, ,    0.04291451,     0.2693118, ,    0.04545115,     0.2027296, ,    0.04943087,     0.1360699, ,    0.04572388,      0.533852, ,    0.04934522,     0.5992888, ,    0.05418842,     0.6643475, ,    0.06000384,     0.7289796, ,    0.06676881,     0.7931375, ,    0.07564996,     0.8567743, , 
   0.04234546,      0.468086, ,    0.04098147,     0.4020406, ,    0.04090567,     0.3357657, ,    0.04226271,     0.2693118, ,    0.04480974,     0.2027296, ,    0.04884757,     0.1360699, ,    0.04487875,      0.533852, ,    0.04846274,     0.5992888, ,    0.05332729,     0.6643475, ,    0.05916717,     0.7289796, ,    0.06592415,     0.7931375, ,    0.07514799,     0.8567743, , 
   0.04160763,      0.468086, ,    0.04032695,     0.4020406, ,    0.04028221,     0.3357657, ,    0.04168117,     0.2693118, ,    0.04422796,     0.2027296, ,    0.04827887,     0.1360699, ,    0.04409419,      0.533852, ,    0.04766558,     0.5992888, ,    0.05256397,     0.6643475, ,     0.0584298,     0.7289796, ,    0.06516974,     0.7931375, ,    0.07473684,     0.8567743, , 
   0.04091486,      0.468086, ,    0.03973553,     0.4020406, ,    0.03972216,     0.3357657, ,     0.0411592,     0.2693118, ,    0.04370198,     0.2027296, ,    0.04772788,     0.1360699, ,    0.04336088,      0.533852, ,    0.04694419,     0.5992888, ,    0.05188737,     0.6643475, ,    0.05777762,     0.7289796, ,    0.06450538,     0.7931375, ,    0.07394962,     0.8567743, , 
   0.04024781,      0.468086, ,    0.03921032,     0.4020406, ,    0.03923385,     0.3357657, ,    0.04070627,     0.2693118, ,    0.04324114,     0.2027296, ,    0.04721539,     0.1360699, ,    0.04265991,      0.533852, ,    0.04629487,     0.5992888, ,    0.05129799,     0.6643475, ,    0.05721515,     0.7289796, ,    0.06393453,     0.7931375, ,    0.07298332,     0.8567743, , 
   0.03976976,      0.468086, ,    0.03872375,     0.4020406, ,    0.03877534,     0.3357657, ,    0.04028406,     0.2693118, ,     0.0428135,     0.2027296, ,    0.04673221,     0.1360699, ,    0.04213538,      0.533852, ,    0.04568694,     0.5992888, ,    0.05074614,     0.6643475, ,    0.05668755,     0.7289796, ,    0.06339805,     0.7931375, ,    0.07205146,     0.8567743, , 
   0.03952536,      0.468086, ,    0.03831649,     0.4020406, ,    0.03836392,     0.3357657, ,    0.03990851,     0.2693118, ,    0.04243693,     0.2027296, ,    0.04630271,     0.1360699, ,    0.04177247,      0.533852, ,    0.04515592,     0.5992888, ,    0.05026178,     0.6643475, ,    0.05621915,     0.7289796, ,    0.06291976,     0.7931375, ,    0.07119231,     0.8567743, , 
   0.03887068,      0.468086, ,    0.03790939,     0.4020406, ,    0.03799612,     0.3357657, ,    0.03957491,     0.2693118, ,    0.04210122,     0.2027296, ,     0.0459193,     0.1360699, ,    0.04109453,      0.533852, ,    0.04467241,     0.5992888, ,    0.04982397,     0.6643475, ,    0.05581752,     0.7289796, ,    0.06249229,     0.7931375, ,    0.07074716,     0.8567743, , 
