CD.0, CL.0.0deg,  ,CD.1, CL.1.0deg, , CD.2, CL.2.0deg, , CD.3, CL.3.0deg, , CD.4, CL.4.0deg, , CD.5, CL.5.0deg, , 
    0.0577343,     0.5950268, ,    0.06275979,     0.6639311, ,    0.06865943,     0.7324347, ,    0.07536176,     0.8004897, ,    0.08354392,     0.8680495, ,    0.08438877,     0.9350677, , 
   0.05678026,     0.5950268, ,    0.06169397,     0.6639311, ,    0.06743982,     0.7324347, ,    0.07407492,     0.8004897, ,     0.0820433,     0.8680495, ,    0.08372465,     0.9350677, , 
   0.05596936,     0.5950268, ,     0.0608019,     0.6639311, ,    0.06644575,     0.7324347, ,    0.07301781,     0.8004897, ,    0.08084907,     0.8680495, ,     0.0831532,     0.9350677, , 
   0.05526066,     0.5950268, ,    0.06004119,     0.6639311, ,    0.06562898,     0.7324347, ,    0.07213289,     0.8004897, ,    0.07982354,     0.8680495, ,    0.08270337,     0.9350677, , 
   0.05459053,     0.5950268, ,    0.05932401,     0.6639311, ,    0.06486737,     0.7324347, ,    0.07130047,     0.8004897, ,    0.07884139,     0.8680495, ,    0.08225689,     0.9350677, , 
   0.05402115,     0.5950268, ,    0.05872178,     0.6639311, ,    0.06423843,     0.7324347, ,    0.07061987,     0.8004897, ,    0.07802802,     0.8680495, ,     0.0817082,     0.9350677, , 
   0.05351065,     0.5950268, ,    0.05818417,     0.6639311, ,    0.06367535,     0.7324347, ,    0.06999793,     0.8004897, ,    0.07728096,     0.8680495, ,     0.0811893,     0.9350677, , 
   0.05303422,     0.5950268, ,    0.05768402,     0.6639311, ,    0.06315186,     0.7324347, ,    0.06941548,     0.8004897, ,      0.076577,     0.8680495, ,    0.08073308,     0.9350677, , 
   0.05261619,     0.5950268, ,    0.05724567,     0.6639311, ,    0.06269189,     0.7324347, ,    0.06891161,     0.8004897, ,    0.07597125,     0.8680495, ,    0.08032592,     0.9350677, , 
   0.05222897,     0.5950268, ,    0.05683899,     0.6639311, ,    0.06226162,     0.7324347, ,    0.06843226,     0.8004897, ,    0.07541573,     0.8680495, ,    0.07996147,     0.9350677, , 
