CD.0, CL.0.0deg,  ,CD.1, CL.1.0deg, , CD.2, CL.2.0deg, , CD.3, CL.3.0deg, , CD.4, CL.4.0deg, , CD.5, CL.5.0deg, , 
   0.09145484,     0.6799157, ,     0.0988977,     0.7362583, ,      0.107453,     0.7920871, ,     0.1164072,     0.8473583, ,     0.1243977,      0.902029, ,     0.1299319,     0.9560575, , 
   0.08902955,     0.6799157, ,    0.09625968,     0.7362583, ,     0.1046995,     0.7920871, ,     0.1139284,     0.8473583, ,     0.1221521,      0.902029, ,      0.128436,     0.9560575, , 
   0.08703573,     0.6799157, ,     0.0940911,     0.7362583, ,     0.1024034,     0.7920871, ,     0.1118521,     0.8473583, ,     0.1205565,      0.902029, ,     0.1270528,     0.9560575, , 
   0.08587424,     0.6799157, ,    0.09282249,     0.7362583, ,     0.1010051,     0.7920871, ,     0.1103437,     0.8473583, ,      0.119277,      0.902029, ,     0.1257478,     0.9560575, , 
   0.08497743,     0.6799157, ,    0.09184346,     0.7362583, ,    0.09991744,     0.7920871, ,     0.1091266,     0.8473583, ,     0.1181082,      0.902029, ,     0.1245423,     0.9560575, , 
   0.08415447,     0.6799157, ,    0.09094763,     0.7362583, ,    0.09892236,     0.7920871, ,     0.1080157,     0.8473583, ,     0.1169558,      0.902029, ,      0.123584,     0.9560575, , 
   0.08334044,     0.6799157, ,    0.09006264,     0.7362583, ,    0.09794027,     0.7920871, ,     0.1069195,     0.8473583, ,     0.1158231,      0.902029, ,     0.1226895,     0.9560575, , 
   0.08253888,     0.6799157, ,    0.08919167,     0.7362583, ,    0.09697413,     0.7920871, ,     0.1058414,     0.8473583, ,     0.1147485,      0.902029, ,     0.1218265,     0.9560575, , 
   0.08177712,     0.6799157, ,    0.08836932,     0.7362583, ,    0.09606033,     0.7920871, ,     0.1048193,     0.8473583, ,     0.1138687,      0.902029, ,     0.1210059,     0.9560575, , 
   0.08113601,     0.6799157, ,    0.08768611,     0.7362583, ,    0.09529434,     0.7920871, ,     0.1039694,     0.8473583, ,     0.1130239,      0.902029, ,     0.1202778,     0.9560575, , 
   0.08051939,     0.6799157, ,    0.08703062,     0.7362583, ,    0.09455747,     0.7920871, ,      0.103151,     0.8473583, ,     0.1121891,      0.902029, ,     0.1195961,     0.9560575, , 
   0.07991097,     0.6799157, ,    0.08638432,     0.7362583, ,    0.09383038,     0.7920871, ,     0.1023425,     0.8473583, ,     0.1113797,      0.902029, ,      0.118966,     0.9560575, , 
   0.07932509,     0.6799157, ,    0.08576261,     0.7362583, ,    0.09312815,     0.7920871, ,     0.1015589,     0.8473583, ,     0.1106842,      0.902029, ,     0.1183663,     0.9560575, , 
   0.07882973,     0.6799157, ,     0.0852451,     0.7362583, ,    0.09255829,     0.7920871, ,     0.1009259,     0.8473583, ,     0.1100427,      0.902029, ,     0.1177818,     0.9560575, , 
   0.07837122,     0.6799157, ,    0.08476791,     0.7362583, ,    0.09203783,     0.7920871, ,     0.1003491,     0.8473583, ,     0.1094451,      0.902029, ,     0.1172351,     0.9560575, , 
   0.07794018,     0.6799157, ,    0.08432143,     0.7362583, ,    0.09155604,     0.7920871, ,    0.09981153,     0.8473583, ,     0.1088747,      0.902029, ,     0.1166952,     0.9560575, , 
   0.07753177,     0.6799157, ,    0.08389798,     0.7362583, ,    0.09109964,     0.7920871, ,     0.0992995,     0.8473583, ,     0.1083192,      0.902029, ,     0.1161656,     0.9560575, , 
